TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories
11004,7.11E+13,7.11E+13,0,2.57E+13,4.6E+13,4.07E+14,0,33,12,205,804,1819
17609,1.155E+14,1.155E+14,0,6.92E+14,7.3E+14,3.91E+14,0,89,17,274,588,2154
12736,8.53E+14,8.53E+14,0,4.66E+14,1.6E+14,3.71E+14,0,56,5,268,605,1944
13231,8.93E+14,8.93E+14,0,3.19E+14,7.9E+14,4.95E+14,0,39,20,224,1080,1932
12041,7.85E+14,7.85E+14,0,2.16E+14,1.09E+13,4.61E+13,0,28,28,243,763,1886
10970,7.16E+14,7.16E+14,0,2.36E+14,5.1E+14,4.29E+14,0,30,13,223,1174,1820
12256,7.86E+13,7.86E+13,0,2.29E+14,4.9E+14,5.04E+14,0,33,12,239,820,1889
12262,7.87E+14,7.87E+14,0,3.32E+13,8.3E+14,3.64E+14,0,47,21,200,866,1868
11248,725,725,0,3,4.5E+14,3.74E+14,0,40,11,244,636,1843
10016,6.37E+14,6.37E+14,0,9.1E+14,1.28E+14,4.18E+14,0,15,30,314,655,1850
14557,9.8E+14,9.8E+14,0,3.39E+14,7E+14,5.69E+14,0,43,18,285,757,2030
14844,9.73E+14,9.73E+14,0,2.94E+14,7.6E+14,6.04E+14,0,36,18,341,736,2083
11974,7.67E+14,7.67E+14,0,2.04E+14,4.8E+14,5.15E+14,0,27,12,228,1173,1861
10198,6.44E+14,6.44E+14,0,1.2E+14,7.9E+14,4.45E+14,0,17,20,195,1208,1755
12521,7.94E+14,7.94E+14,0,3.31E+14,9E+14,3.74E+14,0,46,22,212,1160,1895
12432,8.1E+14,8.1E+14,0,2.59E+14,5.9E+14,4.92E+14,0,32,15,248,738,1883
10057,6.98E+14,6.98E+14,0,4,4.9E+14,2.48E+14,0,44,13,168,737,1755
10990,7.26E+14,7.26E+14,0,2.04E+14,5.7E+14,4.65E+14,0,26,14,216,855,1811
224,1.4E+14,1.4E+14,0,0,0,1.3E+14,0,0,0,9,32,50
1810,1.18E+14,1.18E+14,0,0,0,1.13E+14,1E+15,0,0,121,1319,1373
815,5.3E+14,5.3E+14,0,0,0,5.3E+14,0,0,0,47,1393,1264
1985,1.29E+14,1.29E+14,0,0,0,1.28E+14,1E+15,0,0,112,1328,1350
1905,1.24E+14,1.24E+14,0,0,0,1.24E+14,0,0,0,95,1345,1342
1552,1.01E+14,1.01E+14,0,0,0,1,0,0,0,66,1374,1300
1675,1.09E+13,1.09E+13,0,0,0,1.09E+13,0,0,0,84,1356,1313
4506,2.93E+13,2.93E+13,0,5.1E+14,2.7E+14,2.15E+14,1E+15,7,4,144,1285,1498
9218,5.99E+14,5.99E+14,0,0,0,5.97E+14,1E+15,0,0,221,1219,1541
1556,1.01E+14,1.01E+14,0,0,0,1.01E+14,1E+15,0,0,88,1352,1327
2910,1.89E+14,1.89E+14,0,0,0,1.88E+14,1E+15,0,0,157,1283,1452
18464,12,12,0,0,0,12,0,0,0,270,1170,1574
1335,8.7E+14,8.7E+14,0,0,0,8.7E+14,0,0,0,74,1366,1308
1004,6.5E+14,6.5E+14,0,0,0,6.5E+14,0,0,0,55,1385,1276
1111,7.2E+14,7.2E+14,0,0,0,7.2E+14,0,0,0,54,1386,1278
6344,4.12E+14,4.12E+14,0,0,0,4.1E+14,0,0,0,143,1297,1409
3572,2.32E+13,2.32E+13,0,0,0,2.29E+14,3E+14,0,0,122,1318,1370
3910,2.54E+14,2.54E+14,0,4.7E+14,25,1.81E+14,1E+15,7,7,186,1240,1555
10000,65,65,0,0,0,65,0,0,0,172,1268,1469
6627,4.31E+14,4.31E+14,0,0,0,4.31E+14,0,0,0,89,604,706
4636,3.41E+14,3.41E+14,0,0,7.8E+14,2.6E+14,3E+14,0,16,586,838,3323
20237,1.471E+13,1.471E+13,0,2.57E+13,6.4E+14,5.73E+14,1E+15,34,141,347,918,4029
12912,9.41E+14,9.41E+14,0,4.83E+14,7.7E+14,3.79E+14,3E+14,59,16,283,1082,3436
2819,2.05E+14,2.05E+14,0,3.1E+14,1.7E+14,1.56E+14,1E+15,4,4,87,1345,2444
9921,7.21E+14,7.21E+14,0,3.4E+14,1.52E+14,5.36E+13,0,5,35,219,1181,3098
8046,5.85E+14,5.85E+14,0,1.29E+14,2.12E+14,2.45E+14,0,18,41,137,1244,2925
11166,8.12E+14,8.12E+14,0,2.1E+14,2.41E+14,55,0,3,58,230,1149,3202
7842,5.7E+14,5.7E+14,0,4.8E+14,2.41E+14,2.81E+14,0,7,43,161,1229,2928
13840,1.006E+14,1.006E+14,0,1.31E+14,3.72E+14,5.03E+14,0,18,81,192,1149,3290
1329,9.7E+14,9.7E+14,0,0,0,9.7E+14,0,0,0,35,207,489
6847,4.53E+14,4.53E+14,0,6.1E+14,3.7E+14,3.55E+14,0,9,9,251,1171,1969
5367,3.55E+14,3.55E+14,0,0,0,3.55E+14,0,0,0,263,1177,1889
2841,1.88E+14,1.88E+14,0,0,0,1.88E+14,0,0,0,136,1114,1636
0,0,0,0,0,0,0,0,0,0,0,669,1347
0,0,0,0,0,0,0,0,0,0,0,1440,1347
7,0,0,0,0,0,0,0,0,0,1,1439,1349
6344,4.19E+14,4.19E+14,0,0,0,4.19E+14,0,0,0,290,1150,1965
5316,3.51E+14,3.51E+14,0,0,0,3.51E+14,0,0,0,221,1219,1824
4979,3.29E+14,3.29E+14,0,0,0,3.29E+14,0,0,0,184,620,1807
6556,4.34E+14,4.34E+14,0,0,0,4.33E+14,0,0,0,305,810,1971
5430,3.59E+14,3.59E+14,0,0,0,3.59E+14,0,0,0,251,1189,1888
0,0,0,0,0,0,0,0,0,0,0,426,399
4317,2.99E+14,2.99E+14,0,0,3.7E+14,2.62E+14,0,0,11,192,854,2590
5662,3.92E+14,3.92E+14,0,0,0,3.92E+14,0,0,0,267,858,2783
3198,2.21E+14,2.21E+14,0,0,0,2.21E+14,0,0,0,146,1183,2449
2352,1.63E+14,1.63E+14,0,0,0,1.63E+14,0,0,0,128,829,2380
2234,1.55E+14,1.55E+14,0,0,0,1.55E+14,0,0,0,108,912,2344
1259,8.7E+14,8.7E+14,0,0,0,8.7E+14,0,0,0,73,938,2202
768,5.3E+14,5.3E+14,0,0,0,5.3E+14,0,0,0,43,1397,2130
519,3.6E+14,3.6E+14,0,0,0,3.6E+14,0,0,0,34,1406,2088
2523,175,175,0,0,3.7E+14,1.38E+14,0,0,9,134,1250,2443
2105,1.46E+14,1.46E+14,0,0,0,1.46E+14,0,0,0,139,805,2442
1209,8.4E+14,8.4E+14,0,0,0,8.4E+14,0,0,0,73,842,2255
24,2E+14,2E+14,0,0,0,2E+14,0,0,0,3,161,942
13603,9.6E+14,9.6E+14,0,5.46E+14,6.3E+14,3.51E+14,0,72,16,213,1139,2645
5477,3.84E+14,3.84E+14,0,0,0,3.84E+14,0,0,0,237,1203,2040
11144,7.82E+14,7.82E+14,0,1.79E+14,8.9E+14,5.14E+13,0,25,22,279,1114,2395
15313,11,11,0,5.02E+14,1.29E+14,4.69E+14,0,62,19,233,1126,2581
10805,7.59E+14,7.59E+14,0,7.2E+14,9.8E+14,5.89E+13,0,36,37,298,1069,2735
15392,1.093E+14,1.093E+14,0,3.43E+13,175,575,0,47,42,258,1093,2733
18247,1.383E+14,1.383E+14,0,7.11E+13,2.21E+14,4.51E+14,0,72,62,252,1054,3021
13023,9.26E+14,9.26E+14,0,3.23E+14,5.6E+14,5.47E+14,0,40,12,296,1092,2577
16267,1.259E+14,1.259E+14,0,575,4.7E+14,6.37E+14,0,44,16,302,1078,2811
10005,7.02E+14,7.02E+14,0,8E+14,1.05E+14,5.9E+14,0,1,23,339,1077,2458
10106,7.09E+14,7.09E+14,0,1.21E+14,5.6E+14,5.33E+14,0,41,16,272,1111,2568
6717,4.72E+14,4.72E+14,0,3.23E+14,2.2E+14,1.27E+14,0,41,5,67,551,1140
2605,1.62E+14,1.62E+14,0,0,0,1.62E+14,0,0,0,166,729,1407
