Id;TotalIntensity;AverageIntensity
1503960366;0;0
1503960366;0;0
1503960366;0;0
1503960366;0;0
1503960366;0;0
1503960366;0;0
1503960366;0;0
1503960366;0;0
1503960366;0;0
1503960366;1;16667
1503960366;26;433333
1503960366;49;816667
1503960366;47;783333
1503960366;20;333333
1503960366;121;2016667
1503960366;129;215
1503960366;42;7
1503960366;20;333333
1503960366;2;33333
1503960366;30;5
1503960366;4;66667
1503960366;29;483333
1503960366;41;683333
1503960366;35;583333
1503960366;3;5
1503960366;0;0
1503960366;1;16667
1503960366;0;0
1503960366;0;0
1503960366;0;0
1503960366;0;0
1503960366;0;0
1503960366;1;16667
1503960366;5;83333
1503960366;85;1416667
1503960366;130;2166667
1503960366;3;5
1503960366;9;15
1503960366;3;5
1503960366;23;383333
1503960366;25;416667
1503960366;5;83333
1503960366;110;1833333
1503960366;57;95
1503960366;25;416667
1503960366;9;15
1503960366;17;283333
1503960366;46;766667
1503960366;4;66667
1503960366;3;5
1503960366;0;0
1503960366;0;0
1503960366;0;0
1503960366;0;0
1503960366;0;0
1503960366;3;5
1503960366;14;233333
1503960366;61;1016667
1503960366;4;66667
1503960366;14;233333
1503960366;9;15
1503960366;1;16667
1503960366;6;1
1503960366;13;216667
1503960366;11;183333
1503960366;17;283333
1503960366;29;483333
1503960366;33;55
1503960366;45;75
1503960366;12;2
1503960366;0;0
1503960366;90;15
1503960366;3;5
1503960366;2;33333
1503960366;4;66667
1503960366;0;0
1503960366;1;16667
1503960366;0;0
1503960366;1;16667
1503960366;1;16667
1503960366;28;466667
1503960366;49;816667
1503960366;17;283333
1503960366;34;566667
1503960366;49;816667
1503960366;16;266667
1503960366;26;433333
1503960366;14;233333
1503960366;27;45
1503960366;19;316667
1503960366;15;25
1503960366;16;266667
1503960366;86;1433333
1503960366;35;583333
1503960366;37;616667
1503960366;15;25
1503960366;0;0
1503960366;0;0
1503960366;1;16667
1503960366;0;0
1503960366;0;0
1503960366;0;0
1503960366;0;0
1503960366;6;1
1503960366;27;45
1503960366;27;45
1503960366;12;2
1503960366;36;6
1503960366;34;566667
1503960366;16;266667
1503960366;3;5
1503960366;19;316667
1503960366;28;466667
1503960366;43;716667
1503960366;74;1233333
1503960366;7;116667
1503960366;16;266667
1503960366;49;816667
1503960366;18;3
1503960366;18;3
1503960366;11;183333
1503960366;1;16667
1503960366;1;16667
1503960366;0;0
1503960366;0;0
1503960366;0;0
1503960366;0;0
1503960366;1;16667
1503960366;11;183333
1503960366;27;45
1503960366;11;183333
1503960366;54;9
1503960366;11;183333
1503960366;23;383333
1503960366;25;416667
1503960366;20;333333
1503960366;24;4
1503960366;5;83333
1503960366;15;25
1503960366;64;1066667
1503960366;16;266667
1503960366;49;816667
1503960366;31;516667
1503960366;35;583333
1503960366;13;216667
1503960366;6;1
1503960366;0;0
1503960366;0;0
1503960366;0;0
1503960366;1;16667
1503960366;2;33333
