time,acc,light,moderate-vigorous,sedentary,sleep,MET
2014-05-14 10:00:03.160000+0100 [Europe/London],44.524,0,0,1,0,1.56349206349206
2014-05-14 10:00:33.160000+0100 [Europe/London],55.459,0,0,1,0,1.56349206349206
2014-05-14 10:01:03.160000+0100 [Europe/London],43.058,0,0,1,0,1.56349206349206
2014-05-14 10:01:33.160000+0100 [Europe/London],30.438,0,0,1,0,1.56349206349206
2014-05-14 10:02:03.160000+0100 [Europe/London],51.459,0,0,1,0,1.56349206349206
2014-05-14 10:02:33.160000+0100 [Europe/London],30.669,0,0,1,0,1.56349206349206
2014-05-14 10:03:03.160000+0100 [Europe/London],37.445,0,0,1,0,1.56349206349206
2014-05-14 10:03:33.160000+0100 [Europe/London],31.137,0,0,1,0,1.56349206349206
2014-05-14 10:04:03.160000+0100 [Europe/London],42.589,0,0,1,0,1.56349206349206
2014-05-14 10:04:33.160000+0100 [Europe/London],34.525,0,0,1,0,1.56349206349206
2014-05-14 10:05:03.160000+0100 [Europe/London],36.705,0,0,1,0,1.56349206349206
2014-05-14 10:05:33.160000+0100 [Europe/London],53.049,0,0,1,0,1.56349206349206
2014-05-14 10:06:03.160000+0100 [Europe/London],37.272,0,0,1,0,1.56349206349206
2014-05-14 10:06:33.160000+0100 [Europe/London],32.363,0,0,1,0,1.56349206349206
2014-05-14 10:07:03.160000+0100 [Europe/London],32.708,0,0,1,0,1.56349206349206
2014-05-14 10:07:33.160000+0100 [Europe/London],31.688,0,0,1,0,1.56349206349206
2014-05-14 10:08:03.160000+0100 [Europe/London],31.011,0,0,1,0,1.56349206349206
2014-05-14 10:08:33.160000+0100 [Europe/London],25.304,0,0,1,0,1.56349206349206
2014-05-14 10:09:03.160000+0100 [Europe/London],29.854,0,0,1,0,1.56349206349206
2014-05-14 10:09:33.160000+0100 [Europe/London],35.564,0,0,1,0,1.56349206349206
2014-05-14 10:10:03.160000+0100 [Europe/London],27.33,0,0,1,0,1.56349206349206
2014-05-14 10:10:33.160000+0100 [Europe/London],26.622,0,0,1,0,1.56349206349206
2014-05-14 10:11:03.160000+0100 [Europe/London],20.535,0,0,1,0,1.56349206349206
2014-05-14 10:11:33.160000+0100 [Europe/London],25.099,0,0,1,0,1.56349206349206
2014-05-14 10:12:03.160000+0100 [Europe/London],18.579,0,0,1,0,1.56349206349206
2014-05-14 10:12:33.160000+0100 [Europe/London],31.301,0,0,1,0,1.56349206349206
2014-05-14 10:13:03.160000+0100 [Europe/London],32.917,0,0,1,0,1.56349206349206
2014-05-14 10:13:33.160000+0100 [Europe/London],21.973,0,0,1,0,1.56349206349206
2014-05-14 10:14:03.160000+0100 [Europe/London],32.399,0,0,1,0,1.56349206349206
2014-05-14 10:14:33.160000+0100 [Europe/London],25.052,0,0,1,0,1.56349206349206
2014-05-14 10:15:03.160000+0100 [Europe/London],24.291,0,0,1,0,1.56349206349206
2014-05-14 10:15:33.160000+0100 [Europe/London],36.855,0,0,1,0,1.56349206349206
2014-05-14 10:16:03.160000+0100 [Europe/London],43.89,0,0,1,0,1.56349206349206
2014-05-14 10:16:33.160000+0100 [Europe/London],26.932,0,0,1,0,1.56349206349206
2014-05-14 10:17:03.160000+0100 [Europe/London],24.614,0,0,1,0,1.56349206349206
2014-05-14 10:17:33.160000+0100 [Europe/London],39.591,0,0,1,0,1.56349206349206
2014-05-14 10:18:03.160000+0100 [Europe/London],32.739,0,0,1,0,1.56349206349206
2014-05-14 10:18:33.160000+0100 [Europe/London],31.596,0,0,1,0,1.56349206349206
2014-05-14 10:19:03.160000+0100 [Europe/London],25.831,0,0,1,0,1.56349206349206
2014-05-14 10:19:33.160000+0100 [Europe/London],24.653,0,0,1,0,1.56349206349206
2014-05-14 10:20:03.160000+0100 [Europe/London],26.187,0,0,1,0,1.56349206349206
2014-05-14 10:20:33.160000+0100 [Europe/London],33.981,0,0,1,0,1.56349206349206
2014-05-14 10:21:03.160000+0100 [Europe/London],36.672,0,0,1,0,1.56349206349206
2014-05-14 10:21:33.160000+0100 [Europe/London],42.044,0,0,1,0,1.56349206349206
2014-05-14 10:22:03.160000+0100 [Europe/London],32.702,0,0,1,0,1.56349206349206
2014-05-14 10:22:33.160000+0100 [Europe/London],41.548,0,0,1,0,1.56349206349206
2014-05-14 10:23:03.160000+0100 [Europe/London],43.934,0,0,1,0,1.56349206349206
2014-05-14 10:23:33.160000+0100 [Europe/London],46.972,0,0,1,0,1.56349206349206
2014-05-14 10:24:03.160000+0100 [Europe/London],53.162,0,0,1,0,1.56349206349206
2014-05-14 10:24:33.160000+0100 [Europe/London],40.121,0,0,1,0,1.56349206349206
2014-05-14 10:25:03.160000+0100 [Europe/London],40.362,0,0,1,0,1.56349206349206
2014-05-14 10:25:33.160000+0100 [Europe/London],24.092,0,0,1,0,1.56349206349206
2014-05-14 10:26:03.160000+0100 [Europe/London],28.257,0,0,1,0,1.56349206349206
2014-05-14 10:26:33.160000+0100 [Europe/London],22.917,0,0,1,0,1.56349206349206
2014-05-14 10:27:03.160000+0100 [Europe/London],7.545,0,0,1,0,1.56349206349206
2014-05-14 10:27:33.160000+0100 [Europe/London],13.79,0,0,1,0,1.56349206349206
2014-05-14 10:28:03.160000+0100 [Europe/London],4.994,0,0,1,0,1.56349206349206
2014-05-14 10:28:33.160000+0100 [Europe/London],5.913,0,0,1,0,1.56349206349206
2014-05-14 10:29:03.160000+0100 [Europe/London],3.952,0,0,1,0,1.56349206349206
2014-05-14 10:29:33.160000+0100 [Europe/London],16.691,0,0,1,0,1.56349206349206
2014-05-14 10:30:03.160000+0100 [Europe/London],25.62,0,0,1,0,1.56349206349206
2014-05-14 10:30:33.160000+0100 [Europe/London],19.281,0,0,1,0,1.56349206349206
2014-05-14 10:31:03.160000+0100 [Europe/London],26.265,0,0,1,0,1.56349206349206
2014-05-14 10:31:33.160000+0100 [Europe/London],19.141,0,0,1,0,1.56349206349206
2014-05-14 10:32:03.160000+0100 [Europe/London],21.244,0,0,1,0,1.56349206349206
2014-05-14 10:32:33.160000+0100 [Europe/London],34.23,0,0,1,0,1.56349206349206
2014-05-14 10:33:03.160000+0100 [Europe/London],17.839,0,0,1,0,1.56349206349206
2014-05-14 10:33:33.160000+0100 [Europe/London],9.856,0,0,1,0,1.56349206349206
2014-05-14 10:34:03.160000+0100 [Europe/London],7.924,0,0,1,0,1.56349206349206
2014-05-14 10:34:33.160000+0100 [Europe/London],30.861,0,0,1,0,1.56349206349206
2014-05-14 10:35:03.160000+0100 [Europe/London],34.859,0,0,1,0,1.56349206349206
2014-05-14 10:35:33.160000+0100 [Europe/London],30.103,0,0,1,0,1.56349206349206
2014-05-14 10:36:03.160000+0100 [Europe/London],17.842,0,0,1,0,1.56349206349206
2014-05-14 10:36:33.160000+0100 [Europe/London],23.937,0,0,1,0,1.56349206349206
2014-05-14 10:37:03.160000+0100 [Europe/London],11.429,0,0,1,0,1.56349206349206
2014-05-14 10:37:33.160000+0100 [Europe/London],15.252,0,0,1,0,1.56349206349206
2014-05-14 10:38:03.160000+0100 [Europe/London],22.019,0,0,1,0,1.56349206349206
2014-05-14 10:38:33.160000+0100 [Europe/London],16.943,0,0,1,0,1.56349206349206
2014-05-14 10:39:03.160000+0100 [Europe/London],19.172,0,0,1,0,1.56349206349206
2014-05-14 10:39:33.160000+0100 [Europe/London],17.825,0,0,1,0,1.56349206349206
2014-05-14 10:40:03.160000+0100 [Europe/London],38.869,0,0,1,0,1.56349206349206
2014-05-14 10:40:33.160000+0100 [Europe/London],25.256,0,0,1,0,1.56349206349206
2014-05-14 10:41:03.160000+0100 [Europe/London],20.181,0,0,1,0,1.56349206349206
