time,acc,light,moderate-vigorous,sedentary,sleep,MET
2014-11-01 10:00:06.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:00:36.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:01:06.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:01:36.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:02:06.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:02:36.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:03:06.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:03:36.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:04:06.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:04:36.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:05:06.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:05:36.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:06:06.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:06:36.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:07:06.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:07:36.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:08:06.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:08:36.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:09:06.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:09:36.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:10:06.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:10:36.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:11:06.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:11:36.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:12:06.604000+0000 [Europe/London],0.004,0,0,0,1,0.95
2014-11-01 10:12:36.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:13:06.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:13:36.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:14:06.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:14:36.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:15:06.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:15:36.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:16:06.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:16:36.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:17:06.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:17:36.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:18:06.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:18:36.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:19:06.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:19:36.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:20:06.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:20:36.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:21:06.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:21:36.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:22:06.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:22:36.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:23:06.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:23:36.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:24:06.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:24:36.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:25:06.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:25:36.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:26:06.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:26:36.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:27:06.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:27:36.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:28:06.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:28:36.604000+0000 [Europe/London],7.254,0,0,0,1,0.95
2014-11-01 10:29:06.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:29:36.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:30:06.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:30:36.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:31:06.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:31:36.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:32:06.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:32:36.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:33:06.604000+0000 [Europe/London],0,0,0,0,1,0.95
2014-11-01 10:33:36.604000+0000 [Europe/London],0,0,0,0,1,0.95
