time,acc,light,moderate-vigorous,sedentary,sleep,MET
2015-05-09 10:00:05.957000+0100 [Europe/London],0.967,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:00:35.957000+0100 [Europe/London],3.6809999999999996,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:01:05.957000+0100 [Europe/London],7.531000000000001,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:01:35.957000+0100 [Europe/London],28.151,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:02:05.957000+0100 [Europe/London],11.34,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:02:35.957000+0100 [Europe/London],27.756,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:03:05.957000+0100 [Europe/London],6.835,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:03:35.957000+0100 [Europe/London],3.2239999999999998,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:04:05.957000+0100 [Europe/London],2.887,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:04:35.957000+0100 [Europe/London],3.421,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:05:05.957000+0100 [Europe/London],5.94,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:05:35.957000+0100 [Europe/London],0.029,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:06:05.957000+0100 [Europe/London],0.055,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:06:35.957000+0100 [Europe/London],12.009,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:07:05.957000+0100 [Europe/London],1.246,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:07:35.957000+0100 [Europe/London],0.003,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:08:05.957000+0100 [Europe/London],0.06899999999999999,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:08:35.957000+0100 [Europe/London],4.726,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:09:05.957000+0100 [Europe/London],68.466,1.0,0.0,0.0,0.0,2.2708333333333335
2015-05-09 10:09:35.957000+0100 [Europe/London],55.897000000000006,1.0,0.0,0.0,0.0,2.2708333333333335
2015-05-09 10:10:05.957000+0100 [Europe/London],56.580999999999996,1.0,0.0,0.0,0.0,2.2708333333333335
2015-05-09 10:10:35.957000+0100 [Europe/London],74.479,1.0,0.0,0.0,0.0,2.2708333333333335
2015-05-09 10:11:05.957000+0100 [Europe/London],75.899,1.0,0.0,0.0,0.0,2.2708333333333335
2015-05-09 10:11:35.957000+0100 [Europe/London],28.42,1.0,0.0,0.0,0.0,2.2708333333333335
2015-05-09 10:12:05.957000+0100 [Europe/London],70.346,1.0,0.0,0.0,0.0,2.2708333333333335
2015-05-09 10:12:35.957000+0100 [Europe/London],50.177,1.0,0.0,0.0,0.0,2.2708333333333335
2015-05-09 10:13:05.957000+0100 [Europe/London],40.425999999999995,1.0,0.0,0.0,0.0,2.2708333333333335
2015-05-09 10:13:35.957000+0100 [Europe/London],38.107,1.0,0.0,0.0,0.0,2.2708333333333335
2015-05-09 10:14:05.957000+0100 [Europe/London],67.13,1.0,0.0,0.0,0.0,2.2708333333333335
2015-05-09 10:14:35.957000+0100 [Europe/London],8.991000000000001,1.0,0.0,0.0,0.0,2.2708333333333335
2015-05-09 10:15:05.957000+0100 [Europe/London],39.779,1.0,0.0,0.0,0.0,2.2708333333333335
2015-05-09 10:15:35.957000+0100 [Europe/London],61.907,1.0,0.0,0.0,0.0,2.2708333333333335
2015-05-09 10:16:05.957000+0100 [Europe/London],39.347,1.0,0.0,0.0,0.0,2.2708333333333335
2015-05-09 10:16:35.957000+0100 [Europe/London],26.624,1.0,0.0,0.0,0.0,2.2708333333333335
2015-05-09 10:17:05.957000+0100 [Europe/London],119.497,1.0,0.0,0.0,0.0,2.2708333333333335
2015-05-09 10:17:35.957000+0100 [Europe/London],50.674,1.0,0.0,0.0,0.0,2.2708333333333335
2015-05-09 10:18:05.957000+0100 [Europe/London],71.407,1.0,0.0,0.0,0.0,2.2708333333333335
2015-05-09 10:18:35.957000+0100 [Europe/London],74.944,1.0,0.0,0.0,0.0,2.2708333333333335
2015-05-09 10:19:05.957000+0100 [Europe/London],41.776,1.0,0.0,0.0,0.0,2.2708333333333335
2015-05-09 10:19:35.957000+0100 [Europe/London],59.598,1.0,0.0,0.0,0.0,2.2708333333333335
2015-05-09 10:20:05.957000+0100 [Europe/London],56.832,1.0,0.0,0.0,0.0,2.2708333333333335
2015-05-09 10:20:35.957000+0100 [Europe/London],72.833,1.0,0.0,0.0,0.0,2.2708333333333335
2015-05-09 10:21:05.957000+0100 [Europe/London],111.721,1.0,0.0,0.0,0.0,2.2708333333333335
2015-05-09 10:21:35.957000+0100 [Europe/London],101.79,1.0,0.0,0.0,0.0,2.2708333333333335
2015-05-09 10:22:05.957000+0100 [Europe/London],119.478,1.0,0.0,0.0,0.0,2.2708333333333335
2015-05-09 10:22:35.957000+0100 [Europe/London],140.913,1.0,0.0,0.0,0.0,2.2708333333333335
2015-05-09 10:23:05.957000+0100 [Europe/London],95.94800000000001,1.0,0.0,0.0,0.0,2.2708333333333335
2015-05-09 10:23:35.957000+0100 [Europe/London],53.405,1.0,0.0,0.0,0.0,2.2708333333333335
2015-05-09 10:24:05.957000+0100 [Europe/London],61.031,1.0,0.0,0.0,0.0,2.2708333333333335
2015-05-09 10:24:35.957000+0100 [Europe/London],17.2,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:25:05.957000+0100 [Europe/London],40.708,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:25:35.957000+0100 [Europe/London],6.759,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:26:05.957000+0100 [Europe/London],6.9959999999999996,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:26:35.957000+0100 [Europe/London],18.93,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:27:05.957000+0100 [Europe/London],31.554,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:27:35.957000+0100 [Europe/London],22.821,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:28:05.957000+0100 [Europe/London],8.86,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:28:35.957000+0100 [Europe/London],1.502,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:29:05.957000+0100 [Europe/London],29.06,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:29:35.957000+0100 [Europe/London],9.849,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:30:05.957000+0100 [Europe/London],8.859,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:30:35.957000+0100 [Europe/London],2.092,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:31:05.957000+0100 [Europe/London],5.263999999999999,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:31:35.957000+0100 [Europe/London],2.5829999999999997,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:32:05.957000+0100 [Europe/London],6.135,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:32:35.957000+0100 [Europe/London],19.554,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:33:05.957000+0100 [Europe/London],15.001000000000001,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:33:35.957000+0100 [Europe/London],23.616999999999997,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:34:05.957000+0100 [Europe/London],36.888999999999996,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:34:35.957000+0100 [Europe/London],28.1,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:35:05.957000+0100 [Europe/London],32.983,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:35:35.957000+0100 [Europe/London],3.25,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:36:05.957000+0100 [Europe/London],7.502,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:36:35.957000+0100 [Europe/London],50.034,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:37:05.957000+0100 [Europe/London],91.92500000000001,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:37:35.957000+0100 [Europe/London],78.81,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:38:05.957000+0100 [Europe/London],11.704,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:38:35.957000+0100 [Europe/London],5.883,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:39:05.957000+0100 [Europe/London],7.059,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:39:35.957000+0100 [Europe/London],5.5329999999999995,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:40:05.957000+0100 [Europe/London],1.1869999999999998,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:40:35.957000+0100 [Europe/London],1.328,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:41:05.957000+0100 [Europe/London],2.179,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:41:35.957000+0100 [Europe/London],2.5799999999999996,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:42:05.957000+0100 [Europe/London],2.713,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:42:35.957000+0100 [Europe/London],8.961,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:43:05.957000+0100 [Europe/London],3.3409999999999997,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:43:35.957000+0100 [Europe/London],0.58,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:44:05.957000+0100 [Europe/London],24.934,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:44:35.957000+0100 [Europe/London],8.153,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:45:05.957000+0100 [Europe/London],11.797,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:45:35.957000+0100 [Europe/London],13.758,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:46:05.957000+0100 [Europe/London],22.797,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:46:35.957000+0100 [Europe/London],6.204999999999999,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:47:05.957000+0100 [Europe/London],5.906,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:47:35.957000+0100 [Europe/London],9.334999999999999,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:48:05.957000+0100 [Europe/London],7.763,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:48:35.957000+0100 [Europe/London],3.206,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:49:05.957000+0100 [Europe/London],12.493,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:49:35.957000+0100 [Europe/London],4.011,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:50:05.957000+0100 [Europe/London],4.2589999999999995,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:50:35.957000+0100 [Europe/London],4.946,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:51:05.957000+0100 [Europe/London],6.43,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:51:35.957000+0100 [Europe/London],3.814,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:52:05.957000+0100 [Europe/London],4.029,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:52:35.957000+0100 [Europe/London],5.326,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:53:05.957000+0100 [Europe/London],3.908,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:53:35.957000+0100 [Europe/London],18.198,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:54:05.957000+0100 [Europe/London],3.081,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:54:35.957000+0100 [Europe/London],3.3,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:55:05.957000+0100 [Europe/London],3.472,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:55:35.957000+0100 [Europe/London],2.4450000000000003,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:56:05.957000+0100 [Europe/London],5.39,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:56:35.957000+0100 [Europe/London],1.0610000000000002,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:57:05.957000+0100 [Europe/London],4.14,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:57:35.957000+0100 [Europe/London],13.493,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:58:05.957000+0100 [Europe/London],15.949000000000002,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:58:35.957000+0100 [Europe/London],3.857,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:59:05.957000+0100 [Europe/London],3.0260000000000002,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 10:59:35.957000+0100 [Europe/London],5.3229999999999995,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 11:00:05.957000+0100 [Europe/London],1.15,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 11:00:35.957000+0100 [Europe/London],3.106,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 11:01:05.957000+0100 [Europe/London],2.8600000000000003,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 11:01:35.957000+0100 [Europe/London],12.283000000000001,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 11:02:05.957000+0100 [Europe/London],3.226,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 11:02:35.957000+0100 [Europe/London],3.0820000000000003,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 11:03:05.957000+0100 [Europe/London],3.136,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 11:03:35.957000+0100 [Europe/London],0.634,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 11:04:05.957000+0100 [Europe/London],0.6890000000000001,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 11:04:35.957000+0100 [Europe/London],3.328,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 11:05:05.957000+0100 [Europe/London],9.873,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 11:05:35.957000+0100 [Europe/London],2.04,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 11:06:05.957000+0100 [Europe/London],5.202,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 11:06:35.957000+0100 [Europe/London],5.687,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 11:07:05.957000+0100 [Europe/London],2.383,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 11:07:35.957000+0100 [Europe/London],2.1380000000000003,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 11:08:05.957000+0100 [Europe/London],10.978,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 11:08:35.957000+0100 [Europe/London],5.18,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 11:09:05.957000+0100 [Europe/London],16.962,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 11:09:35.957000+0100 [Europe/London],5.096,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 11:10:05.957000+0100 [Europe/London],5.785,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 11:10:35.957000+0100 [Europe/London],14.202,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 11:11:05.957000+0100 [Europe/London],6.760999999999999,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 11:11:35.957000+0100 [Europe/London],1.737,0.0,0.0,1.0,0.0,1.5634920634920635
2015-05-09 11:12:05.957000+0100 [Europe/London],1.39,0.0,0.0,1.0,0.0,1.5634920634920635
