1COV.DE_Volume,ADS.DE_Volume,AIR.DE_Volume,ALV.DE_Volume,BAS.DE_Volume,BMW.DE_Volume,CBK.DE_Volume,DTE.DE_Volume,EOAN.DE_Volume,HEI.DE_Volume
10984457,181816,600,58799,1228124,767000,250757,8525000,4605397,443
1556710,263828,0,76694,1102856,260000,203775,0,5286301,0
694888,239488,0,76182,967364,1066000,338232,8570000,6279352,0
357981,184268,0,96634,1249598,793000,185307,5835000,5856699,110
281900,312500,0,131913,1239882,351000,160162,5695000,5382206,0
163417,275076,0,12271,351768,624000,69256,5379000,5868056,0
285165,346248,0,0,0,624000,0,4341000,6887675,1550
230048,1250824,0,0,0,442000,0,4182000,4033059,221
132069,692084,0,0,0,546000,0,5493000,5340855,0
249995,1099276,0,12782,254624,286000,28201,8228000,4662407,2215
80401,1054692,80,48061,509246,312000,60396,2328500,5628908,18830
134430,1110936,0,0,0,1040000,0,2233500,5648593,1550
143178,413736,0,0,0,2015000,0,2170000,6139200,15840
471771,405556,0,104815,1449512,455000,116612,1709500,5816967,1440
163051,468548,0,62378,1002644,923000,262362,3748500,6536299,1993
392687,249920,0,43460,1754242,624000,151365,2003000,3311800,0
344041,218832,0,51640,2714960,702000,303229,1891000,4664241,0
302628,172408,0,93566,2273204,1781000,385588,2287000,5388396,4541
121395,316184,0,128846,0,1118000,273780,1304500,5953650,221
231561,271804,0,132936,1866216,1417000,275215,2204000,3400943,221
201489,2125596,0,57776,1481724,1495000,103697,1666000,4999208,110
215349,3002588,0,83341,1633578,494000,98892,2538000,6576872,1218
252789,13099364,0,50618,2083514,442000,326502,871500,4718336,5538
65312,5933988,0,204517,1618750,611000,241585,1979500,6421586,775
69902,3176264,0,152876,1176994,403000,211761,1502500,3993310,553
102146,4064996,0,0,1488370,663000,273780,370000,2814023,0
27916,2943912,0,45505,0,286000,0,0,3948723,0
732175,1701572,0,127823,8721106,481000,197037,0,3910156,221
695465,547632,0,109928,1227612,312000,156169,0,4984604,2326
455589,2703736,1100,140605,1334472,455000,249135,822500,7475153,4763
324271,2924356,0,35279,1534386,845000,112494,697500,3460012,0
192998,3166876,0,150320,1713340,104000,242833,0,6840101,0
339041,1838480,0,268428,1569154,0,220060,0,7935459,0
319452,1256424,0,493908,1063488,0,115614,1702000,4973793,0
248333,2479992,20,191223,795058,0,145250,1508000,7574455,0
234676,1736776,0,87431,1053262,195000,105943,1625500,2176979,0
366966,1564660,0,116575,1314020,182000,131774,1106500,20914511,0
458053,1243904,0,178441,2865280,0,103010,3201000,14450018,0
270874,2061444,0,0,0,0,0,3955000,10407383,4763
326015,2474516,0,47550,896294,429000,48978,4880000,6774157,553
180361,1707048,0,54197,1624374,572000,62767,3602500,6245023,0
237920,1977732,0,56242,1399918,598000,68569,3172500,7520208,0
210223,2221820,0,35279,0,624000,16409,2161500,7969898,6092
260586,1089004,0,138049,1941886,1170000,133832,1528500,6844626,3101
177634,784676,0,124244,1314532,884000,170270,2337500,3447947,332
178144,628992,0,73626,1528252,1586000,59210,2297000,1560801,0
278215,1538844,0,119131,2225142,650000,137826,1034000,3237669,110
195228,1798580,0,0,0,1040000,0,1440000,6083133,1661
303199,564060,0,144184,1116662,754000,156356,1174500,5795683,2658
295837,1337004,0,99191,1876952,351000,125222,2614500,4137030,0
219207,1484864,0,73115,880444,1313000,68694,1082000,2901944,0
137213,1788408,0,141628,1447468,897000,123350,2429000,4765012,110
256949,1110128,0,126289,1005712,0,74746,1931000,9519690,0
1462933,635252,0,124755,1350322,429000,159975,1473000,12004867,0
173697,1195400,0,86920,986794,338000,108938,1598500,60520606,0
121414,3076128,0,51129,818578,806000,81485,2399000,8849779,3387
85255,3402360,0,89476,2225142,598000,138200,1467000,10030393,1772
0,1748508,0,82829,4260084,1001000,167150,3193500,8241483,332
62254,1257204,20,124755,2011422,832000,264296,0,6069876,0
87800,916108,0,83341,1554328,1417000,105194,422500,10297850,1977
85342,1679664,0,134470,2340182,598000,231602,958000,7184926,2142
202131,3237288,0,85897,2906184,780000,388146,1392000,6728622,4320
250116,2686528,0,92033,2622928,936000,233100,143500,4623894,3323
153020,2132636,14,116575,2136178,1313000,160661,1383500,3385732,1273
296539,1752420,20,146741,1781340,0,210139,1508500,5168784,896
262966,2519108,0,82829,1240394,312000,93152,768000,3677476,0
212399,11732,0,116063,2904650,780000,142443,1300500,4168924,3987
190396,1252512,0,68513,1337540,871000,135829,1607500,5082581,14510
217879,1492688,0,132936,2035964,0,153361,1388000,3976147,0
397257,928628,0,189178,1985346,1443000,124910,1824500,3872748,0
295406,930972,0,68002,998554,1781000,59460,940500,2347127,1107
207734,1182884,0,63400,933618,676000,144377,793500,5982551,1218
292613,1696092,0,118108,1526718,1053000,233162,1329500,8032722,1440
332363,884032,250,46528,478570,0,122103,2449500,3147100,2990
273959,847264,0,0,0,819000,0,2215000,7128918,1107
315749,1385508,0,0,0,728000,0,5626500,6077013,332
161884,1345608,0,175373,1732256,351000,141382,4732000,4769719,3101
217640,1297104,0,138560,1893314,1079000,142068,1579000,4104468,2326
186668,1084380,0,156455,3335156,585000,138387,4441000,8254266,2156
317522,1490676,0,100725,2172480,819000,136016,2085000,0,4209
361154,823584,0,97657,2305926,390000,117673,1573000,0,7670
266144,1493548,0,78739,1445934,221000,116799,6679500,2545776,1107
242613,1909748,0,107371,1596254,1495000,75745,5474000,5397744,4873
230740,899000,0,82829,1334472,975000,69318,4755000,7225658,2215
362360,1294532,0,119642,1649938,1170000,86476,6142000,6101160,996
276822,1308544,0,143673,1268004,1144000,133645,1855000,0,443
330255,1373728,0,121687,1601366,754000,88972,1938500,4534341,1329
525705,1589424,0,0,0,1001000,0,1234000,4877302,1329
294640,1440420,0,74137,1514446,1391000,71814,4666000,4027001,460
299471,1078920,0,83852,883512,1729000,116050,3838000,5091896,443
188603,2023312,7,79250,1250620,1482000,80175,1675500,5508031,2436
234635,1511348,0,69536,1081894,871000,74372,1860000,0,1107
210125,1882196,0,38858,536346,806000,31945,2894000,6244440,0
256887,5232828,0,76694,604348,858000,145250,2103500,8671799,2326
237526,4007336,0,16873,461696,1469000,37123,0,6904537,553
413087,2481600,0,45249,714786,728000,49040,0,4888149,1661
519621,2300796,100,107371,2591228,572000,114303,2347500,3731239,4430
710516,1162440,0,122710,1851900,1755000,111433,1885500,3204661,1329
208402,1418584,0,0,0,3614000,0,2104500,3778627,0
235743,1695036,0,45505,666214,780000,36499,2325000,5718702,2658
293460,960052,0,95356,2397448,0,187179,1690500,4578856,5017
287023,468264,0,118364,2191908,0,122477,1517000,5124802,1441
248062,1250696,0,63656,1563020,1326000,58087,2259000,5496432,996
391669,871852,0,0,0,1261000,0,1388500,7249550,3545
181594,889824,0,38603,1712316,1586000,61956,1985000,4289890,0
299483,1327176,0,78228,1561996,2171000,80611,1834500,2025397,0
499373,2744420,0,74904,1873884,1027000,246577,1710500,0,886
253464,1867768,0,88965,1608012,1560000,179255,0,3604040,0
175444,1025668,0,75927,3108654,2470000,136515,1773500,2096211,0
252824,1198124,0,115552,1473544,2249000,285323,1477000,3466719,0
174312,665332,0,0,0,2028000,0,1327000,2267915,2326
182245,1006828,0,94589,2414832,2262000,116550,1222000,3831077,0
135057,1621732,0,143162,1593696,1560000,214007,625000,3922175,15
251444,1107976,0,72603,1352368,0,148370,1012000,5524615,0
197611,1195908,0,17640,460162,2652000,58399,727500,2965022,0
384470,1815916,0,99958,1076270,832000,191546,741500,675856,1218
352204,1818308,0,69280,1155520,897000,141819,1602500,3406202,6757
285792,1701640,400,38858,446358,650000,116238,1156500,5014448,1107
222551,1139816,0,3323,57264,273000,11043,0,11022279,3323
187310,1095296,0,79250,1326292,728000,257807,478500,33111132,3544
224932,1590792,0,92288,1900984,234000,165341,2470000,5813869,0
336088,1731144,0,90499,1107458,169000,166838,2086500,7441976,39
731390,833040,0,51129,1233236,507000,118671,822500,6162822,1550
397767,936448,0,38603,634002,455000,38808,0,2391344,4043
424948,1613072,0,85130,1464340,0,77492,1866500,5575509,2547
389799,1530848,0,77972,1072690,416000,66261,4748000,4495920,3876
440365,1769624,0,27610,336430,1157000,24458,3857000,9709395,5103
383137,1322812,0,72859,625822,806000,99579,6744500,10344841,6313
341171,813904,0,117341,1347766,195000,217751,3327000,5606117,5981
336774,809220,0,95867,927484,0,109312,1819500,5418389,443
408364,492204,0,86664,971454,403000,90469,0,5357323,371
329187,0,0,77716,915212,988000,81235,2348000,4425659,1440
428615,0,0,65957,657522,1235000,136016,2095000,3742533,10903
