1COV.DE_Volume,ADS.DE_Volume,AIR.DE_Volume,ALV.DE_Volume,BAS.DE_Volume,BMW.DE_Volume,CBK.DE_Volume,DTE.DE_Volume,EOAN.DE_Volume,HEI.DE_Volume
0,0,0,0,0,0,0,0,0,0
3210,2248,573,3551,4247,9224,63286,66871,66341,1254
3042,714,4417,6349,5945,3085,146942,5692,42747,639
381,1347,338,2489,2925,3501,43649,1999,38372,2756
1140,2455,250,978,2354,5340,23974,4038,49856,311
2310,992,185,2427,4081,7589,4201,14680,29659,1738
4047,17,380,1868,3247,3205,22049,1821,21816,309
218,116,232,517,8159,2940,22529,6820,10198,792
367,38,284,912,696,1346,53894,4053,25513,219
106,320,508,60,2165,1824,12111,25761,10725,2019
517,975,287,155,917,4598,56184,1738,17426,447
1350,868,646,9368,2905,384,160197,8023,53230,14
537,2456,190,838,13693,2322,7527,8665,12454,2057
1684,194,378,749,4250,1112,7231,4295,6164,512
885,163,310,1078,4004,1857,14446,1454,23390,127
2486,46,70,0,12110,541,84478,3791,5842,0
1287,0,50,55756,12133,0,7341,25875,11564,17585
74,21862,100,478,8908,81669,1169,836,24611,154
35,1282,172,87,4225,347,13991,702,3595,276
475,2366,263,1612,674,559,7204,548,5175,100
406,426,142,1220,5505,2227,21361,2233,6075,195
706,338,1200,3696,1759,378,8262,12013,8674,173
195,118,180,650,59,904,182,974,5625,139
1403,98,170,1019,2754,1288,8345,1020,10958,357
813,95,200,788,1552,757,9844,3324,33933,4395
1065,359,200,1000,20396,680,3800,251,4609,3412
867,203,675,1198,1679,955,18347,424,982,267
864,199,700,570,12146,800,23954,2176,4780,3769
2088,275,48,497,9411,2691,6694,1362,504,4154
630,641,339,738,5298,5646,13255,1847,38007,2461
1118,533,579,1941,2615,1541,12592,462,28173,1569
894,365,400,1743,11697,2567,3823,1956,35173,1870
2303,166,100,4372,995,2240,4540,1194,5005,387
551,579,83,150,2191,2965,3598,4249,33589,1984
2712,76,593,661,1321,1947,12170,12779,7162,2165
220,41,99,333,2609,495,4697,3241,57843,1257
162,386,1340,128,1150,1136,43665,5138,13404,354
367,787,423,1875,1044,608,5677,6678,1058,190
162,501,200,42,17363,632,21573,2006,2578,5620
1253,66,2420,335,740,3997,18635,130,2729,234
537,248,1918,772,337,7059,4305,4533,128,442
240,91,249,550,479,575,14500,1201,3771,84
1185,23,361,80,4009,986,478,562,3669,326
736,278,115,1514,351,2111,23699,279,8928,1358
1364,160,116,24,1377,6952,23383,6991,6570,2659
1619,110,400,81,1105,6951,2653,3516,719,180
382,165,217,3302,5346,2033,40695,7942,8329,195
3233,54,225,462,3274,1019,14905,225,721,198
1712,282,233,1123,700,2351,20635,3528,1705,268
2327,137,119,1717,7095,672,2200,4122,2897,139
4614,147,299,1394,177,1078,2434,6395,840,1280
237,95,2128,428,601,2689,3393,1373,6716,4955
487,25,188,2120,2144,8411,2879,1774,5116,11616
361,258,140,2437,824,1104,22729,20211,6466,6036
620,181,100,319,845,2247,2197,7392,6414,10496
395,2702,73,1326,931,476,20695,7131,3176,13694
1071,945,283,3061,2377,4774,12437,89,2881,3668
730,388,662,1797,3165,2745,50832,1715,4546,3515
793,471,621,1056,1451,2011,7973,11280,6153,10893
684,52,83,148,1046,1836,6621,1442,2500,4869
367,35,113,500,1918,563,5706,1785,7721,2801
1359,66,816,152,1649,3665,22450,2524,2790,2086
924,131,41,955,1029,3678,16534,7154,18925,1666
317,76,113,312,831,419,4022,234,954,4909
1157,269,215,1223,824,3546,16602,234,2435,11354
242,281,2185,1312,1479,1179,12233,1100,8231,14310
617,28,284,1831,944,1026,6005,6401,2381,8795
3600,16,90,252,538,1438,937,476,1356,3808
259,545,272,2763,2825,2221,2914,70,156,2067
4999,55,217,3356,436,1805,5000,15962,20849,5968
265,1304,57,1520,1119,620,4070,838,22935,1526
2773,497,475,15,1745,911,32936,14550,5172,3510
325,213,61,3308,7027,4419,3799,3605,1300,662
474,162,25,591,505,1414,1156,3142,32249,1695
653,88,200,685,1438,1191,7774,11002,526,2018
298,5,60,216,2560,993,9434,50,8085,6200
1299,68,325,521,475,1029,13115,13525,10024,4503
39,127,119,1484,4976,759,15308,2738,2377,1556
820,90,108,201,318,542,3750,4000,85,443
1648,12,200,583,1921,1694,4535,303,3552,2032
351,122,263,767,419,2148,928,1814,3480,67
135,174,550,81,423,504,857,630,3289,1306
310,278,100,411,1029,335,8212,554,942,337
104,111,410,491,247,3974,5427,256,220,3987
1881,79,25,750,1912,87,2546,1973,1574,2998
1292,177,608,3115,1524,9059,725,2582,9566,262
975,74,437,618,1166,1535,1215,576,5514,278
444,73,226,2523,956,1064,1352,462,5123,705
454,909,165,98,88,303,5894,422,631,392
201,19,154,136,119,473,3381,433,15301,317
53,157,97,296,242,604,17068,4043,2196,262
99,75,55,2729,1306,2610,7976,20983,13875,100
33,64,104,336,738,1545,3650,1406,80,1059
305,398,283,687,27546,2956,6499,2102,9522,568
1108,21,92,130,3045,854,15316,538,1183,111
280,100,100,258,5446,916,10209,192,12822,974
32,60,817,15,460,1300,1723,193,13286,208
1117,177,15,484,25,919,601,4758,4946,460
637,124,1,87,2714,319,1510,1965,6628,1729
103,247,200,254,22713,181,2802,708,651,395
101,73,32,2166,2750,4244,1061,441,21626,51
376,114,339,3627,952,15,18803,1704,11604,146
27,12,45,240,546,4924,15856,12117,3164,2293
1827,193,1458,430,1624,422,5277,17206,14843,5227
1014,64,170,10,658,708,1985,4287,8511,1280
53,266,149,536,294,1703,2375,176,3123,49
286,121,500,176,1369,175,1660,3156,12399,238
240,778,85,119,301,584,1000,1202,6954,422
248,18,303,397,791,1516,3551,28,3362,115
256,64,199,187,900,163,12590,579,1052,469
1,13,309,209,896,213,2898,1590,551,390
163,330,55,553,503,2563,1194,292,89,250
29,102,83,888,270,1456,13480,58,655,506
26,131,427,1846,22,624,1010,22898,8551,35
45,128,150,490,790,2182,4656,16062,7982,181
