dataset,alpha,window_width,overlaps,detection_buf_size,slidshap_drift_pos,p_value,statistical_test
Synthetic_6Concepts_ADD_5000dataPerConcept_10category,0.01,100,80,10,110,0.0019187612282543156,t-test
Synthetic_6Concepts_ADD_5000dataPerConcept_10category,0.01,100,80,10,168,0.0027295992384125368,t-test
Synthetic_6Concepts_ADD_5000dataPerConcept_10category,0.01,100,80,10,169,0.0038131490352076016,t-test
Synthetic_6Concepts_ADD_5000dataPerConcept_10category,0.01,100,80,10,170,0.004345282886255471,t-test
Synthetic_6Concepts_ADD_5000dataPerConcept_10category,0.01,100,80,10,171,0.004284658125086261,t-test
Synthetic_6Concepts_ADD_5000dataPerConcept_10category,0.01,100,80,10,172,0.00024399837594407098,t-test
Synthetic_6Concepts_ADD_5000dataPerConcept_10category,0.01,100,80,10,226,4.975465422226266e-08,t-test
Synthetic_6Concepts_ADD_5000dataPerConcept_10category,0.01,100,80,10,227,3.628165147922274e-07,t-test
Synthetic_6Concepts_ADD_5000dataPerConcept_10category,0.01,100,80,10,228,0.00013265141502599416,t-test
Synthetic_6Concepts_ADD_5000dataPerConcept_10category,0.01,100,80,10,229,0.0031822679065724685,t-test
Synthetic_6Concepts_ADD_5000dataPerConcept_10category,0.01,100,80,10,282,0.002822557267537016,t-test
Synthetic_6Concepts_ADD_5000dataPerConcept_10category,0.01,100,80,10,385,0.0019376204044845283,t-test
Synthetic_6Concepts_ADD_5000dataPerConcept_10category,0.01,100,80,10,472,0.0030049252836981616,t-test
Synthetic_6Concepts_ADD_5000dataPerConcept_10category,0.01,100,80,10,473,0.0008710324483380702,t-test
Synthetic_6Concepts_ADD_5000dataPerConcept_10category,0.01,100,80,10,474,0.00016887519829155215,t-test
Synthetic_6Concepts_ADD_5000dataPerConcept_10category,0.01,100,80,10,475,1.3958417204070496e-05,t-test
Synthetic_6Concepts_ADD_5000dataPerConcept_10category,0.01,100,80,10,476,6.0224656036554716e-06,t-test
Synthetic_6Concepts_ADD_5000dataPerConcept_10category,0.01,100,80,10,477,9.400373479450958e-05,t-test
Synthetic_6Concepts_ADD_5000dataPerConcept_10category,0.01,100,80,10,478,0.0001514090110061693,t-test
Synthetic_6Concepts_ADD_5000dataPerConcept_10category,0.01,100,80,10,526,0.0010797079172535104,t-test
Synthetic_6Concepts_ADD_5000dataPerConcept_10category,0.01,100,80,10,527,0.0014414733636208502,t-test
Synthetic_6Concepts_ADD_5000dataPerConcept_10category,0.01,100,80,10,729,8.53143389741725e-08,t-test
Synthetic_6Concepts_ADD_5000dataPerConcept_10category,0.01,100,80,10,730,4.8736457643772816e-09,t-test
Synthetic_6Concepts_ADD_5000dataPerConcept_10category,0.01,100,80,10,731,1.5885602137884266e-06,t-test
Synthetic_6Concepts_ADD_5000dataPerConcept_10category,0.01,100,80,10,732,3.6317053166683654e-06,t-test
Synthetic_6Concepts_ADD_5000dataPerConcept_10category,0.01,100,80,10,733,0.0001310573299184914,t-test
Synthetic_6Concepts_ADD_5000dataPerConcept_10category,0.01,100,80,10,734,0.001063949638500877,t-test
Synthetic_6Concepts_ADD_5000dataPerConcept_10category,0.01,100,80,10,735,0.0046172994417133075,t-test
Synthetic_6Concepts_ADD_5000dataPerConcept_10category,0.01,100,80,10,736,0.0035332656707226387,t-test
Synthetic_6Concepts_ADD_5000dataPerConcept_10category,0.01,100,80,10,737,0.005321159954820935,t-test
Synthetic_6Concepts_ADD_5000dataPerConcept_10category,0.01,100,80,10,738,0.0016012370035566026,t-test
Synthetic_6Concepts_ADD_5000dataPerConcept_10category,0.01,100,80,10,739,0.005261948960907062,t-test
Synthetic_6Concepts_ADD_5000dataPerConcept_10category,0.01,100,80,10,860,0.0019187612282543156,t-test
Synthetic_6Concepts_ADD_5000dataPerConcept_10category,0.01,100,80,10,918,0.0027295992384125368,t-test
Synthetic_6Concepts_ADD_5000dataPerConcept_10category,0.01,100,80,10,919,0.0038131490352076016,t-test
Synthetic_6Concepts_ADD_5000dataPerConcept_10category,0.01,100,80,10,920,0.004345282886255471,t-test
Synthetic_6Concepts_ADD_5000dataPerConcept_10category,0.01,100,80,10,921,0.004284658125086261,t-test
Synthetic_6Concepts_ADD_5000dataPerConcept_10category,0.01,100,80,10,922,0.00024399837594407098,t-test
Synthetic_6Concepts_ADD_5000dataPerConcept_10category,0.01,100,80,10,976,4.975465422226266e-08,t-test
Synthetic_6Concepts_ADD_5000dataPerConcept_10category,0.01,100,80,10,977,3.628165147922274e-07,t-test
Synthetic_6Concepts_ADD_5000dataPerConcept_10category,0.01,100,80,10,978,0.00013265141502599416,t-test
Synthetic_6Concepts_ADD_5000dataPerConcept_10category,0.01,100,80,10,979,0.0031822679065724685,t-test
Synthetic_6Concepts_ADD_5000dataPerConcept_10category,0.01,100,80,10,1032,0.002822557267537016,t-test
Synthetic_6Concepts_ADD_5000dataPerConcept_10category,0.01,100,80,10,1135,0.0019376204044845283,t-test
Synthetic_6Concepts_ADD_5000dataPerConcept_10category,0.01,100,80,10,1222,0.0030049252836981616,t-test
Synthetic_6Concepts_ADD_5000dataPerConcept_10category,0.01,100,80,10,1223,0.0008710324483380702,t-test
Synthetic_6Concepts_ADD_5000dataPerConcept_10category,0.01,100,80,10,1224,0.00016887519829155215,t-test
Synthetic_6Concepts_ADD_5000dataPerConcept_10category,0.01,100,80,10,1225,1.3958417204070496e-05,t-test
Synthetic_6Concepts_ADD_5000dataPerConcept_10category,0.01,100,80,10,1226,6.0224656036554716e-06,t-test
Synthetic_6Concepts_ADD_5000dataPerConcept_10category,0.01,100,80,10,1227,9.400373479450958e-05,t-test
Synthetic_6Concepts_ADD_5000dataPerConcept_10category,0.01,100,80,10,1228,0.0001514090110061693,t-test
Synthetic_6Concepts_ADD_5000dataPerConcept_10category,0.01,100,80,10,1276,0.0010797079172535104,t-test
Synthetic_6Concepts_ADD_5000dataPerConcept_10category,0.01,100,80,10,1277,0.0014414733636208502,t-test
