dataset,alpha,window_width,overlaps,detection_buf_size,slidshap_drift_pos,p_value,statistical_test
Synthetic_6Concepts_AND_5000dataPerConcept_10category,0.01,100,90,10,26,0.00023729035571263464,t-test
Synthetic_6Concepts_AND_5000dataPerConcept_10category,0.01,100,90,10,27,0.0001559863848387444,t-test
Synthetic_6Concepts_AND_5000dataPerConcept_10category,0.01,100,90,10,28,6.359187604351923e-05,t-test
Synthetic_6Concepts_AND_5000dataPerConcept_10category,0.01,100,90,10,29,0.002096945423488108,t-test
Synthetic_6Concepts_AND_5000dataPerConcept_10category,0.01,100,90,10,30,0.006836808743602138,t-test
Synthetic_6Concepts_AND_5000dataPerConcept_10category,0.01,100,90,10,46,2.2799062520287104e-05,t-test
Synthetic_6Concepts_AND_5000dataPerConcept_10category,0.01,100,90,10,47,0.0007816506720860953,t-test
Synthetic_6Concepts_AND_5000dataPerConcept_10category,0.01,100,90,10,57,4.9771054045373084e-06,t-test
Synthetic_6Concepts_AND_5000dataPerConcept_10category,0.01,100,90,10,58,8.571739207223397e-06,t-test
Synthetic_6Concepts_AND_5000dataPerConcept_10category,0.01,100,90,10,62,5.078283399460534e-06,t-test
Synthetic_6Concepts_AND_5000dataPerConcept_10category,0.01,100,90,10,105,6.107362894555835e-06,t-test
Synthetic_6Concepts_AND_5000dataPerConcept_10category,0.01,100,90,10,106,5.71104135801271e-06,t-test
Synthetic_6Concepts_AND_5000dataPerConcept_10category,0.01,100,90,10,162,0.002246429485649558,t-test
Synthetic_6Concepts_AND_5000dataPerConcept_10category,0.01,100,90,10,176,1.3728468879066927e-05,t-test
Synthetic_6Concepts_AND_5000dataPerConcept_10category,0.01,100,90,10,193,3.730896811973202e-05,t-test
Synthetic_6Concepts_AND_5000dataPerConcept_10category,0.01,100,90,10,194,7.086941667680478e-05,t-test
Synthetic_6Concepts_AND_5000dataPerConcept_10category,0.01,100,90,10,195,0.0006239748338236817,t-test
Synthetic_6Concepts_AND_5000dataPerConcept_10category,0.01,100,90,10,196,0.002085817816645445,t-test
Synthetic_6Concepts_AND_5000dataPerConcept_10category,0.01,100,90,10,197,1.48715788165071e-05,t-test
Synthetic_6Concepts_AND_5000dataPerConcept_10category,0.01,100,90,10,208,0.0001449933297542494,t-test
Synthetic_6Concepts_AND_5000dataPerConcept_10category,0.01,100,90,10,309,0.0007123887713272157,t-test
Synthetic_6Concepts_AND_5000dataPerConcept_10category,0.01,100,90,10,325,0.00012178817724669407,t-test
Synthetic_6Concepts_AND_5000dataPerConcept_10category,0.01,100,90,10,326,0.00012188599327732107,t-test
Synthetic_6Concepts_AND_5000dataPerConcept_10category,0.01,100,90,10,327,0.0001671993821211309,t-test
Synthetic_6Concepts_AND_5000dataPerConcept_10category,0.01,100,90,10,328,0.00010715386597947992,t-test
Synthetic_6Concepts_AND_5000dataPerConcept_10category,0.01,100,90,10,329,0.0006757918199058126,t-test
Synthetic_6Concepts_AND_5000dataPerConcept_10category,0.01,100,90,10,346,2.163133525104352e-06,t-test
Synthetic_6Concepts_AND_5000dataPerConcept_10category,0.01,100,90,10,347,2.811383422969022e-06,t-test
Synthetic_6Concepts_AND_5000dataPerConcept_10category,0.01,100,90,10,348,2.7368905265166905e-07,t-test
Synthetic_6Concepts_AND_5000dataPerConcept_10category,0.01,100,90,10,349,5.683850638859457e-06,t-test
Synthetic_6Concepts_AND_5000dataPerConcept_10category,0.01,100,90,10,364,0.0013063612249542868,t-test
Synthetic_6Concepts_AND_5000dataPerConcept_10category,0.01,100,90,10,387,0.00012328771019847758,t-test
Synthetic_6Concepts_AND_5000dataPerConcept_10category,0.01,100,90,10,388,2.5709865413557823e-05,t-test
Synthetic_6Concepts_AND_5000dataPerConcept_10category,0.01,100,90,10,508,9.930940023915102e-07,t-test
Synthetic_6Concepts_AND_5000dataPerConcept_10category,0.01,100,90,10,512,0.0002995627587304159,t-test
Synthetic_6Concepts_AND_5000dataPerConcept_10category,0.01,100,90,10,525,2.0033311610278884e-05,t-test
Synthetic_6Concepts_AND_5000dataPerConcept_10category,0.01,100,90,10,526,0.002099942895296553,t-test
Synthetic_6Concepts_AND_5000dataPerConcept_10category,0.01,100,90,10,527,0.0015613464492813074,t-test
Synthetic_6Concepts_AND_5000dataPerConcept_10category,0.01,100,90,10,528,0.002170990974025727,t-test
Synthetic_6Concepts_AND_5000dataPerConcept_10category,0.01,100,90,10,570,2.9954036454453497e-06,t-test
Synthetic_6Concepts_AND_5000dataPerConcept_10category,0.01,100,90,10,571,2.030238751436372e-07,t-test
Synthetic_6Concepts_AND_5000dataPerConcept_10category,0.01,100,90,10,602,7.98057975696973e-05,t-test
Synthetic_6Concepts_AND_5000dataPerConcept_10category,0.01,100,90,10,603,4.141900119530766e-05,t-test
Synthetic_6Concepts_AND_5000dataPerConcept_10category,0.01,100,90,10,604,1.3577917247571661e-06,t-test
Synthetic_6Concepts_AND_5000dataPerConcept_10category,0.01,100,90,10,605,3.362117482284194e-07,t-test
Synthetic_6Concepts_AND_5000dataPerConcept_10category,0.01,100,90,10,606,9.204602662477105e-09,t-test
Synthetic_6Concepts_AND_5000dataPerConcept_10category,0.01,100,90,10,607,1.2854887899430821e-05,t-test
