dataset,alpha,window_width,overlaps,detection_buf_size,slidshap_drift_pos,p_value,statistical_test
Realworld_BMW.DE_daily_binned50,0.01,200,180,10,1,5.885984169807079e-05,t-test
Realworld_BMW.DE_daily_binned50,0.01,200,180,10,35,0.002862634065111373,t-test
Realworld_BMW.DE_daily_binned50,0.01,200,180,10,58,2.0504337325120594e-10,t-test
Realworld_BMW.DE_daily_binned50,0.01,200,180,10,59,5.0261823906346846e-11,t-test
Realworld_BMW.DE_daily_binned50,0.01,200,180,10,60,7.519288342184589e-08,t-test
Realworld_BMW.DE_daily_binned50,0.01,200,180,10,61,5.321555516605777e-06,t-test
Realworld_BMW.DE_daily_binned50,0.01,200,180,10,62,7.452721007941063e-05,t-test
Realworld_BMW.DE_daily_binned50,0.01,200,180,10,63,0.0005616428064973731,t-test
Realworld_BMW.DE_daily_binned50,0.01,200,180,10,64,0.002381290198012455,t-test
Realworld_BMW.DE_daily_binned50,0.01,200,180,10,65,0.005445425295416741,t-test
Realworld_BMW.DE_daily_binned50,0.01,200,180,10,66,0.007391453563212404,t-test
Realworld_BMW.DE_daily_binned50,0.01,200,180,10,104,0.0002542641602520682,t-test
Realworld_BMW.DE_daily_binned50,0.01,200,180,10,105,0.00010935581276047161,t-test
Realworld_BMW.DE_daily_binned50,0.01,200,180,10,106,3.0873739405141336e-05,t-test
Realworld_BMW.DE_daily_binned50,0.01,200,180,10,107,3.904192775135217e-07,t-test
Realworld_BMW.DE_daily_binned50,0.01,200,180,10,108,5.754351259753668e-09,t-test
Realworld_BMW.DE_daily_binned50,0.01,200,180,10,109,4.549718987044273e-13,t-test
Realworld_BMW.DE_daily_binned50,0.01,200,180,10,110,4.912809462452466e-09,t-test
Realworld_BMW.DE_daily_binned50,0.01,200,180,10,111,2.27410380152792e-06,t-test
Realworld_BMW.DE_daily_binned50,0.01,200,180,10,112,7.831170247243609e-05,t-test
Realworld_BMW.DE_daily_binned50,0.01,200,180,10,113,0.00029685601513324195,t-test
Realworld_BMW.DE_daily_binned50,0.01,200,180,10,114,0.00046896472620853465,t-test
Realworld_BMW.DE_daily_binned50,0.01,200,180,10,115,0.0005219442770021989,t-test
Realworld_BMW.DE_daily_binned50,0.01,200,180,10,116,0.00031609467300465575,t-test
Realworld_BMW.DE_daily_binned50,0.01,200,180,10,117,0.00011557636424091295,t-test
Realworld_BMW.DE_daily_binned50,0.01,200,180,10,118,0.00020389675570108197,t-test
Realworld_BMW.DE_daily_binned50,0.01,200,180,10,119,0.0026336799364863805,t-test
Realworld_BMW.DE_daily_binned50,0.01,200,180,10,135,0.0005485155110682791,t-test
Realworld_BMW.DE_daily_binned50,0.01,200,180,10,172,0.0031928150834697106,t-test
Realworld_BMW.DE_daily_binned50,0.01,200,180,10,173,0.006117295537370558,t-test
Realworld_BMW.DE_daily_binned50,0.01,200,180,10,174,0.0024311983138887647,t-test
Realworld_BMW.DE_daily_binned50,0.01,200,180,10,175,0.000947991259790354,t-test
Realworld_BMW.DE_daily_binned50,0.01,200,180,10,176,0.00018781790587028114,t-test
Realworld_BMW.DE_daily_binned50,0.01,200,180,10,177,5.061693566368216e-05,t-test
Realworld_BMW.DE_daily_binned50,0.01,200,180,10,178,0.0001596083785062196,t-test
Realworld_BMW.DE_daily_binned50,0.01,200,180,10,179,0.0004959158093968473,t-test
Realworld_BMW.DE_daily_binned50,0.01,200,180,10,180,0.00945158752225469,t-test
Realworld_BMW.DE_daily_binned50,0.01,200,180,10,203,6.878274004489054e-07,t-test
Realworld_BMW.DE_daily_binned50,0.01,200,180,10,204,5.934430223641429e-07,t-test
Realworld_BMW.DE_daily_binned50,0.01,200,180,10,205,6.614089627269935e-07,t-test
Realworld_BMW.DE_daily_binned50,0.01,200,180,10,206,5.996093306169599e-06,t-test
Realworld_BMW.DE_daily_binned50,0.01,200,180,10,207,0.0005960307847895025,t-test
Realworld_BMW.DE_daily_binned50,0.01,200,180,10,219,8.175332801021046e-09,t-test
Realworld_BMW.DE_daily_binned50,0.01,200,180,10,220,2.239919519684003e-07,t-test
Realworld_BMW.DE_daily_binned50,0.01,200,180,10,221,5.252652892547079e-06,t-test
Realworld_BMW.DE_daily_binned50,0.01,200,180,10,222,3.337871979500424e-05,t-test
Realworld_BMW.DE_daily_binned50,0.01,200,180,10,223,3.3467096618301206e-05,t-test
Realworld_BMW.DE_daily_binned50,0.01,200,180,10,224,1.2778301701735808e-05,t-test
Realworld_BMW.DE_daily_binned50,0.01,200,180,10,225,2.04974066273363e-06,t-test
Realworld_BMW.DE_daily_binned50,0.01,200,180,10,226,6.757932680169457e-08,t-test
Realworld_BMW.DE_daily_binned50,0.01,200,180,10,227,6.488738052371789e-07,t-test
Realworld_BMW.DE_daily_binned50,0.01,200,180,10,228,8.754298676688341e-06,t-test
Realworld_BMW.DE_daily_binned50,0.01,200,180,10,229,7.929127590732713e-06,t-test
Realworld_BMW.DE_daily_binned50,0.01,200,180,10,230,0.00020748647783082254,t-test
Realworld_BMW.DE_daily_binned50,0.01,200,180,10,231,0.0008528019178613469,t-test
Realworld_BMW.DE_daily_binned50,0.01,200,180,10,232,0.003169898822412965,t-test
Realworld_BMW.DE_daily_binned50,0.01,200,180,10,245,0.00023752002625799007,t-test
