dataset,alpha,window_width,overlaps,detection_buf_size,slidshap_drift_pos,p_value,statistical_test
Realworld_BMW.DE_daily_events_binned50,0.01,200,140,10,15,0.0017522069582554106,t-test
Realworld_BMW.DE_daily_events_binned50,0.01,200,140,10,16,0.0027257285946317464,t-test
Realworld_BMW.DE_daily_events_binned50,0.01,200,140,10,17,0.006678885248802631,t-test
Realworld_BMW.DE_daily_events_binned50,0.01,200,140,10,35,1.2408993141338129e-06,t-test
Realworld_BMW.DE_daily_events_binned50,0.01,200,140,10,36,6.918733138284749e-06,t-test
Realworld_BMW.DE_daily_events_binned50,0.01,200,140,10,37,1.5007537232813219e-05,t-test
Realworld_BMW.DE_daily_events_binned50,0.01,200,140,10,38,1.2138640052713473e-05,t-test
Realworld_BMW.DE_daily_events_binned50,0.01,200,140,10,39,4.550778921985822e-06,t-test
Realworld_BMW.DE_daily_events_binned50,0.01,200,140,10,40,1.8714352575206234e-06,t-test
Realworld_BMW.DE_daily_events_binned50,0.01,200,140,10,41,5.06297184187779e-06,t-test
Realworld_BMW.DE_daily_events_binned50,0.01,200,140,10,42,0.0001810618804359636,t-test
Realworld_BMW.DE_daily_events_binned50,0.01,200,140,10,43,0.003283224805790876,t-test
Realworld_BMW.DE_daily_events_binned50,0.01,200,140,10,81,0.001001480257810226,t-test
Realworld_BMW.DE_daily_events_binned50,0.01,200,140,10,82,0.006913300538477084,t-test
Realworld_BMW.DE_daily_events_binned50,0.01,200,140,10,83,0.0012261204129279584,t-test
Realworld_BMW.DE_daily_events_binned50,0.01,200,140,10,84,0.001485348559669885,t-test
Realworld_BMW.DE_daily_events_binned50,0.01,200,140,10,85,0.0013201909245221157,t-test
Realworld_BMW.DE_daily_events_binned50,0.01,200,140,10,86,0.0023265879699241885,t-test
Realworld_BMW.DE_daily_events_binned50,0.01,200,140,10,87,0.0014021387438239148,t-test
Realworld_BMW.DE_daily_events_binned50,0.01,200,140,10,88,0.0004011295816133916,t-test
Realworld_BMW.DE_daily_events_binned50,0.01,200,140,10,89,0.0007222083748358707,t-test
