dataset,alpha,window_width,overlaps,detection_buf_size,slidshap_drift_pos,p_value,statistical_test
Realworld_BMW.DE_hourly_events,0.01,50,35,10,78,1.0205732024096278e-10,t-test
Realworld_BMW.DE_hourly_events,0.01,50,35,10,79,3.063651031254297e-09,t-test
Realworld_BMW.DE_hourly_events,0.01,50,35,10,80,1.6045255083499538e-06,t-test
Realworld_BMW.DE_hourly_events,0.01,50,35,10,81,4.819600846880033e-05,t-test
Realworld_BMW.DE_hourly_events,0.01,50,35,10,82,0.00040375179044827605,t-test
Realworld_BMW.DE_hourly_events,0.01,50,35,10,83,0.002619772150296435,t-test
Realworld_BMW.DE_hourly_events,0.01,50,35,10,116,0.001101451211630024,t-test
Realworld_BMW.DE_hourly_events,0.01,50,35,10,117,0.007479505046040269,t-test
Realworld_BMW.DE_hourly_events,0.01,50,35,10,145,0.0009048449209235092,t-test
Realworld_BMW.DE_hourly_events,0.01,50,35,10,146,0.00356357857242383,t-test
Realworld_BMW.DE_hourly_events,0.01,50,35,10,147,0.007344091436563567,t-test
Realworld_BMW.DE_hourly_events,0.01,50,35,10,213,4.575823931847545e-08,t-test
Realworld_BMW.DE_hourly_events,0.01,50,35,10,214,1.0341759741986697e-05,t-test
Realworld_BMW.DE_hourly_events,0.01,50,35,10,215,0.00021826508724880314,t-test
Realworld_BMW.DE_hourly_events,0.01,50,35,10,216,0.001658703389317234,t-test
Realworld_BMW.DE_hourly_events,0.01,50,35,10,217,0.005029890861857979,t-test
Realworld_BMW.DE_hourly_events,0.01,50,35,10,249,1.531356314573624e-08,t-test
Realworld_BMW.DE_hourly_events,0.01,50,35,10,250,3.3961110833585216e-06,t-test
Realworld_BMW.DE_hourly_events,0.01,50,35,10,251,0.0001864842534193785,t-test
Realworld_BMW.DE_hourly_events,0.01,50,35,10,252,0.001123915204729856,t-test
Realworld_BMW.DE_hourly_events,0.01,50,35,10,253,0.007420058040445159,t-test
Realworld_BMW.DE_hourly_events,0.01,50,35,10,348,4.4371235037795574e-05,t-test
Realworld_BMW.DE_hourly_events,0.01,50,35,10,349,0.0004067761794271895,t-test
Realworld_BMW.DE_hourly_events,0.01,50,35,10,350,0.0022949333128877607,t-test
Realworld_BMW.DE_hourly_events,0.01,50,35,10,351,0.0070919721466739,t-test
Realworld_BMW.DE_hourly_events,0.01,50,35,10,384,0.005520745295372493,t-test
