dataset,alpha,window_width,overlaps,detection_buf_size,slidshap_drift_pos,p_value,statistical_test
Realworld_BMW.DE_minutely_binned50,0.01,30,27,10,11,0.0032792157459813503,t-test
Realworld_BMW.DE_minutely_binned50,0.01,30,27,10,12,2.4949872494848595e-06,t-test
Realworld_BMW.DE_minutely_binned50,0.01,30,27,10,26,0.0012186271603618242,t-test
Realworld_BMW.DE_minutely_binned50,0.01,30,27,10,27,0.0017431732035684002,t-test
Realworld_BMW.DE_minutely_binned50,0.01,30,27,10,28,0.0004277908869916659,t-test
Realworld_BMW.DE_minutely_binned50,0.01,30,27,10,114,3.532944075263235e-08,t-test
Realworld_BMW.DE_minutely_binned50,0.01,30,27,10,115,1.2328790625802393e-07,t-test
Realworld_BMW.DE_minutely_binned50,0.01,30,27,10,116,1.4681040982224762e-06,t-test
Realworld_BMW.DE_minutely_binned50,0.01,30,27,10,117,9.93096516779089e-06,t-test
Realworld_BMW.DE_minutely_binned50,0.01,30,27,10,118,2.71867386042013e-07,t-test
Realworld_BMW.DE_minutely_binned50,0.01,30,27,10,119,1.4530602577683552e-11,t-test
Realworld_BMW.DE_minutely_binned50,0.01,30,27,10,120,1.3660279081300777e-06,t-test
Realworld_BMW.DE_minutely_binned50,0.01,30,27,10,121,1.235086893406297e-07,t-test
Realworld_BMW.DE_minutely_binned50,0.01,30,27,10,122,8.743693115943057e-08,t-test
Realworld_BMW.DE_minutely_binned50,0.01,30,27,10,123,1.5105700379489484e-06,t-test
Realworld_BMW.DE_minutely_binned50,0.01,30,27,10,124,0.0002886848363095597,t-test
Realworld_BMW.DE_minutely_binned50,0.01,30,27,10,242,0.006360674130338446,t-test
Realworld_BMW.DE_minutely_binned50,0.01,30,27,10,294,0.008580986482947889,t-test
Realworld_BMW.DE_minutely_binned50,0.01,30,27,10,426,0.001337761589548529,t-test
Realworld_BMW.DE_minutely_binned50,0.01,30,27,10,427,0.00046616355426032065,t-test
Realworld_BMW.DE_minutely_binned50,0.01,30,27,10,428,7.591833831708138e-05,t-test
Realworld_BMW.DE_minutely_binned50,0.01,30,27,10,429,3.351001592481032e-06,t-test
Realworld_BMW.DE_minutely_binned50,0.01,30,27,10,430,3.1028296164568165e-08,t-test
Realworld_BMW.DE_minutely_binned50,0.01,30,27,10,431,7.996856935196954e-10,t-test
Realworld_BMW.DE_minutely_binned50,0.01,30,27,10,432,2.305285604655118e-10,t-test
Realworld_BMW.DE_minutely_binned50,0.01,30,27,10,433,8.833960822609558e-09,t-test
Realworld_BMW.DE_minutely_binned50,0.01,30,27,10,434,1.5075678900597034e-07,t-test
Realworld_BMW.DE_minutely_binned50,0.01,30,27,10,435,2.5859624626458506e-06,t-test
Realworld_BMW.DE_minutely_binned50,0.01,30,27,10,436,3.5077780371259315e-05,t-test
Realworld_BMW.DE_minutely_binned50,0.01,30,27,10,437,0.0003997404521489899,t-test
Realworld_BMW.DE_minutely_binned50,0.01,30,27,10,438,0.002560450319327661,t-test
Realworld_BMW.DE_minutely_binned50,0.01,30,27,10,450,2.9245187884907693e-06,t-test
Realworld_BMW.DE_minutely_binned50,0.01,30,27,10,452,1.012098547873048e-05,t-test
Realworld_BMW.DE_minutely_binned50,0.01,30,27,10,453,1.3334133555322171e-05,t-test
Realworld_BMW.DE_minutely_binned50,0.01,30,27,10,454,2.008549583740306e-06,t-test
Realworld_BMW.DE_minutely_binned50,0.01,30,27,10,455,1.1038786444981186e-07,t-test
Realworld_BMW.DE_minutely_binned50,0.01,30,27,10,456,5.441594372889548e-08,t-test
Realworld_BMW.DE_minutely_binned50,0.01,30,27,10,457,7.584721656556149e-06,t-test
Realworld_BMW.DE_minutely_binned50,0.01,30,27,10,458,0.0004627189212392178,t-test
Realworld_BMW.DE_minutely_binned50,0.01,30,27,10,459,0.00972010666847123,t-test
Realworld_BMW.DE_minutely_binned50,0.01,30,27,10,519,0.0001275382795641294,t-test
Realworld_BMW.DE_minutely_binned50,0.01,30,27,10,520,1.5618547315489112e-05,t-test
Realworld_BMW.DE_minutely_binned50,0.01,30,27,10,521,8.59022485269806e-07,t-test
Realworld_BMW.DE_minutely_binned50,0.01,30,27,10,522,5.673664775737064e-08,t-test
Realworld_BMW.DE_minutely_binned50,0.01,30,27,10,523,8.177178281841439e-11,t-test
Realworld_BMW.DE_minutely_binned50,0.01,30,27,10,524,3.432816099209783e-08,t-test
Realworld_BMW.DE_minutely_binned50,0.01,30,27,10,525,1.818080894286072e-05,t-test
Realworld_BMW.DE_minutely_binned50,0.01,30,27,10,526,0.0008465089456420983,t-test
Realworld_BMW.DE_minutely_binned50,0.01,30,27,10,539,5.4040297648086025e-06,t-test
Realworld_BMW.DE_minutely_binned50,0.01,30,27,10,540,1.9599373602850025e-07,t-test
Realworld_BMW.DE_minutely_binned50,0.01,30,27,10,541,7.805157956754333e-08,t-test
Realworld_BMW.DE_minutely_binned50,0.01,30,27,10,542,4.252210805603718e-07,t-test
Realworld_BMW.DE_minutely_binned50,0.01,30,27,10,543,1.3478722722123508e-05,t-test
Realworld_BMW.DE_minutely_binned50,0.01,30,27,10,544,0.00032062297986883734,t-test
Realworld_BMW.DE_minutely_binned50,0.01,30,27,10,545,0.007477640811208042,t-test
Realworld_BMW.DE_minutely_binned50,0.01,30,27,10,557,0.009466429439142696,t-test
