dataset,win_len,seed,hdddm,adwin,kdqtree,pcacd,label
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,100,42,0,0,0,0,0.0
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,100,42,0,0,0,0,0.0
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,100,42,0,0,0,0,0.0
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,100,42,0,0,0,0,0.0
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,100,42,0,0,0,0,0.0
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,100,42,0,0,0,0,0.0
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,100,42,0,0,0,0,0.0
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,100,42,0,0,0,0,0.0
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,100,42,0,0,0,0,0.0
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,100,42,0,0,0,0,0.0
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,100,42,0,0,0,0,0.0
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,100,42,0,0,0,0,0.0
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,100,42,0,0,0,0,0.0
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,100,42,0,0,0,0,0.0
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,100,42,0,0,0,0,0.0
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,100,42,0,0,0,0,0.0
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,100,42,0,0,0,0,0.0
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,100,42,0,0,0,0,0.0
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,100,42,0,0,0,0,0.0
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,100,42,0,0,0,0,0.0
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,100,42,0,0,0,0,0.0
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,100,42,0,0,0,0,0.0
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,100,42,0,0,0,0,0.0
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,100,42,0,0,0,0,0.0
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,100,42,0,0,0,0,0.0
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,100,42,0,0,0,0,0.0
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,100,42,0,0,0,0,0.0
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,100,42,0,0,0,0,0.0
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,100,42,0,0,0,0,0.0
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,100,42,0,0,0,0,0.0
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,100,42,0,0,0,0,0.0
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,100,42,0,0,0,0,0.0
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,100,42,0,0,0,0,0.0
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,100,42,0,0,0,0,0.0
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,100,42,0,0,0,0,0.0
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,100,42,0,0,0,0,0.0
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,100,42,0,0,0,0,0.0
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,100,42,0,0,0,0,0.0
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,100,42,0,0,0,0,0.0
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,100,42,0,0,0,0,0.0
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,100,42,0,0,0,0,0.0
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,100,42,0,0,0,0,0.0
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,100,42,0,0,0,0,0.0
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,100,42,0,0,0,0,0.0
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,100,42,0,0,0,0,0.0
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,100,42,0,0,0,0,0.0
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,100,42,0,0,0,0,0.0
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,100,42,0,0,0,0,0.0
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,100,42,0,0,0,0,0.0
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,100,42,0,0,0,0,0.0
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,100,42,0,0,0,0,0.0
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,100,42,0,0,0,0,0.0
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,100,42,0,0,0,0,0.0
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,100,42,0,0,0,0,0.0
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,100,42,0,0,0,0,0.0
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,100,42,0,0,0,0,0.0
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,100,42,0,0,0,0,0.0
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,100,42,0,0,0,0,0.0
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,100,42,0,0,0,0,0.0
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,100,42,0,0,0,0,0.0
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,100,42,0,0,0,0,0.0
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,100,42,0,0,0,0,0.0
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,100,42,0,0,0,0,0.0
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,100,42,0,0,0,0,0.0
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,100,42,0,0,0,0,0.0
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,100,42,0,0,0,0,0.0
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,100,42,0,0,0,0,0.0
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,100,42,0,0,0,0,0.0
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,100,42,0,0,0,0,0.0
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,100,42,0,0,0,0,0.0
