dataset,alpha,window_width,overlaps,detection_buf_size,slidshap_drift_pos,p_value,statistical_test
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,0.01,100,70,10,148,0.0018957140177766005,t-test
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,0.01,100,70,10,323,0.0003388231674661934,t-test
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,0.01,100,70,10,324,3.123241661231607e-05,t-test
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,0.01,100,70,10,325,3.127099627536114e-05,t-test
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,0.01,100,70,10,326,0.00013904851278532122,t-test
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,0.01,100,70,10,484,0.00013248031273649448,t-test
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,0.01,100,70,10,485,0.0007561812691624962,t-test
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,0.01,100,70,10,486,0.00207923773514526,t-test
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,0.01,100,70,10,487,0.005243492728376091,t-test
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,0.01,100,70,10,648,0.0018957140177766005,t-test
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,0.01,100,70,10,823,0.0003388231674661934,t-test
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,0.01,100,70,10,824,3.123241661231607e-05,t-test
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,0.01,100,70,10,825,3.127099627536114e-05,t-test
Synthetic_6Concepts_MUL_5000dataPerConcept_10category,0.01,100,70,10,826,0.00013904851278532122,t-test
