dataset,alpha,window_width,overlaps,detection_buf_size,slidshap_drift_pos,p_value,statistical_test
Realworld_Open_hourly(events)_binned,0.01,50,35,10,96,1.9208416565243343e-07,t-test
Realworld_Open_hourly(events)_binned,0.01,50,35,10,97,6.80029523093239e-06,t-test
Realworld_Open_hourly(events)_binned,0.01,50,35,10,183,2.4724244980413304e-05,t-test
Realworld_Open_hourly(events)_binned,0.01,50,35,10,184,0.00016918686646112801,t-test
Realworld_Open_hourly(events)_binned,0.01,50,35,10,205,5.215703761880828e-07,t-test
Realworld_Open_hourly(events)_binned,0.01,50,35,10,206,3.108306972998017e-06,t-test
Realworld_Open_hourly(events)_binned,0.01,50,35,10,207,1.2011304450321113e-05,t-test
Realworld_Open_hourly(events)_binned,0.01,50,35,10,208,0.0006014521174045744,t-test
Realworld_Open_hourly(events)_binned,0.01,50,35,10,209,2.9091571657908225e-06,t-test
Realworld_Open_hourly(events)_binned,0.01,50,35,10,210,1.296720093817305e-06,t-test
Realworld_Open_hourly(events)_binned,0.01,50,35,10,211,2.7591115062137504e-07,t-test
Realworld_Open_hourly(events)_binned,0.01,50,35,10,212,2.2519040111975216e-07,t-test
Realworld_Open_hourly(events)_binned,0.01,50,35,10,213,1.53547101609366e-07,t-test
Realworld_Open_hourly(events)_binned,0.01,50,35,10,214,6.860802509288496e-06,t-test
Realworld_Open_hourly(events)_binned,0.01,50,35,10,251,2.7472996023254533e-06,t-test
Realworld_Open_hourly(events)_binned,0.01,50,35,10,252,1.0250023485811154e-05,t-test
Realworld_Open_hourly(events)_binned,0.01,50,35,10,253,2.2049572841711723e-06,t-test
Realworld_Open_hourly(events)_binned,0.01,50,35,10,254,4.588228799312332e-06,t-test
Realworld_Open_hourly(events)_binned,0.01,50,35,10,255,3.418446580513975e-05,t-test
Realworld_Open_hourly(events)_binned,0.01,50,35,10,257,2.026315480894471e-08,t-test
Realworld_Open_hourly(events)_binned,0.01,50,35,10,266,1.2674100236862744e-05,t-test
Realworld_Open_hourly(events)_binned,0.01,50,35,10,267,2.5325708463353594e-06,t-test
Realworld_Open_hourly(events)_binned,0.01,50,35,10,268,1.5652861131865279e-06,t-test
Realworld_Open_hourly(events)_binned,0.01,50,35,10,269,4.916077479185655e-06,t-test
Realworld_Open_hourly(events)_binned,0.01,50,35,10,270,7.530930904368864e-05,t-test
Realworld_Open_hourly(events)_binned,0.01,50,35,10,271,2.893135053595154e-05,t-test
Realworld_Open_hourly(events)_binned,0.01,50,35,10,272,1.4962228612971634e-05,t-test
Realworld_Open_hourly(events)_binned,0.01,50,35,10,273,5.69058347001769e-07,t-test
Realworld_Open_hourly(events)_binned,0.01,50,35,10,274,5.257256371752574e-05,t-test
Realworld_Open_hourly(events)_binned,0.01,50,35,10,275,0.003534184890481209,t-test
