dataset,alpha,window_width,overlaps,detection_buf_size,slidshap_drift_pos,p_value,statistical_test
Realworld_Open_hourly(events2)_binned,0.01,50,35,10,96,4.307358606127034e-07,t-test
Realworld_Open_hourly(events2)_binned,0.01,50,35,10,97,3.8041624650992414e-05,t-test
Realworld_Open_hourly(events2)_binned,0.01,50,35,10,179,2.041672799006299e-06,t-test
Realworld_Open_hourly(events2)_binned,0.01,50,35,10,206,6.14313275598814e-06,t-test
Realworld_Open_hourly(events2)_binned,0.01,50,35,10,207,1.1727973333947128e-05,t-test
Realworld_Open_hourly(events2)_binned,0.01,50,35,10,208,0.0008307580891262384,t-test
Realworld_Open_hourly(events2)_binned,0.01,50,35,10,209,3.2593909203431284e-05,t-test
Realworld_Open_hourly(events2)_binned,0.01,50,35,10,210,2.866576979125334e-06,t-test
Realworld_Open_hourly(events2)_binned,0.01,50,35,10,211,1.4474188414169113e-07,t-test
Realworld_Open_hourly(events2)_binned,0.01,50,35,10,212,6.885058515101443e-07,t-test
Realworld_Open_hourly(events2)_binned,0.01,50,35,10,213,3.3007692347523864e-07,t-test
Realworld_Open_hourly(events2)_binned,0.01,50,35,10,214,9.286409531731163e-06,t-test
Realworld_Open_hourly(events2)_binned,0.01,50,35,10,247,8.673861941382837e-05,t-test
Realworld_Open_hourly(events2)_binned,0.01,50,35,10,250,0.002796469937049124,t-test
Realworld_Open_hourly(events2)_binned,0.01,50,35,10,251,0.0031864557193878487,t-test
Realworld_Open_hourly(events2)_binned,0.01,50,35,10,252,0.0005006546047418989,t-test
Realworld_Open_hourly(events2)_binned,0.01,50,35,10,265,6.006613300846418e-06,t-test
Realworld_Open_hourly(events2)_binned,0.01,50,35,10,266,1.2456305393974892e-06,t-test
Realworld_Open_hourly(events2)_binned,0.01,50,35,10,267,1.1292019688436404e-07,t-test
Realworld_Open_hourly(events2)_binned,0.01,50,35,10,268,6.787505631864712e-07,t-test
Realworld_Open_hourly(events2)_binned,0.01,50,35,10,269,3.6177241943413643e-05,t-test
Realworld_Open_hourly(events2)_binned,0.01,50,35,10,270,9.48674808681723e-05,t-test
Realworld_Open_hourly(events2)_binned,0.01,50,35,10,271,3.216241965428939e-05,t-test
Realworld_Open_hourly(events2)_binned,0.01,50,35,10,272,3.00913219041469e-05,t-test
Realworld_Open_hourly(events2)_binned,0.01,50,35,10,273,1.8894305580341442e-07,t-test
Realworld_Open_hourly(events2)_binned,0.01,50,35,10,274,1.0266408067584292e-05,t-test
Realworld_Open_hourly(events2)_binned,0.01,50,35,10,275,0.0008782169906273395,t-test
Realworld_Open_hourly(events2)_binned,0.01,50,35,10,316,0.0015287000143436548,t-test
Realworld_Open_hourly(events2)_binned,0.01,50,35,10,317,0.00202544606603384,t-test
