dataset,alpha,window_width,overlaps,detection_buf_size,slidshap_drift_pos,p_value,statistical_test
Realworld_Open_hourly_binned,0.01,30,24,10,71,6.391747414955716e-06,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,72,3.457123973960873e-05,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,85,0.0013327824292935187,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,178,1.8728527398025718e-07,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,179,2.361429108251045e-07,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,180,1.6252809521615957e-06,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,181,1.0520430974251447e-06,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,182,2.084650318434818e-05,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,183,2.7317276469926596e-05,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,184,0.0009417296269454765,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,268,1.4311799782673547e-06,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,269,2.895903541465734e-07,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,270,8.841047688614196e-08,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,271,2.83303161689252e-07,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,272,1.6384866477064722e-07,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,273,4.663278082366356e-08,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,274,3.0338788447690024e-06,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,275,3.489275765586198e-05,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,276,0.0001512743766553075,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,277,9.899038000229737e-05,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,278,1.839139704513319e-05,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,279,6.224670291509336e-07,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,280,7.999080862868999e-06,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,281,0.0001507262154044709,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,290,6.287368870105691e-07,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,291,5.089520829892707e-07,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,292,1.8221257032937243e-07,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,293,9.631737002935809e-08,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,294,5.745873237959202e-07,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,295,6.406684849026242e-09,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,296,2.4682099337494985e-09,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,297,5.096000347190758e-10,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,298,2.474056288267546e-08,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,299,3.495243259240371e-05,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,300,0.0017178306667956175,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,301,0.005918747817258261,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,302,0.005162375342914495,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,371,3.3877216836862005e-11,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,372,1.2839706617613296e-06,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,373,1.9040569001055969e-06,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,374,7.091822122722041e-06,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,375,0.0024792787286167686,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,388,0.007505980925000168,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,389,0.00976761183072458,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,390,0.0030723904149773957,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,391,0.00012898144711907082,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,392,0.0002630884453553358,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,393,0.0009512742440173089,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,442,3.7844318113247367e-07,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,443,0.00018183723535556743,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,444,0.00016048852959664554,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,445,1.5066087103852274e-05,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,446,1.9473406639067236e-06,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,447,5.826513717538667e-05,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,448,3.456105516903457e-05,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,566,0.0009704091083691858,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,620,3.0117166278846865e-05,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,621,0.0004078117411681253,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,622,0.0016329561684385616,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,623,0.004724584400621796,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,696,5.490253525596221e-06,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,697,1.063735307481365e-05,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,698,8.538845618771407e-05,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,699,4.37397777367242e-05,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,700,0.00028855163488852143,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,701,4.492850546181627e-06,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,702,1.006174342229056e-06,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,703,0.00047093211409997315,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,738,0.000440913970087533,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,739,0.0006200803949007234,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,740,0.001034924068897326,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,741,0.0008119888666617543,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,742,0.00019658363033024577,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,743,5.3204351294105244e-06,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,753,5.10278028982312e-08,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,754,7.878376887815043e-06,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,771,0.0014954554760307766,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,772,0.005184728729322512,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,773,0.0009957832626232926,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,774,0.00022667678530501916,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,775,2.0892072953555803e-05,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,791,0.00028617420080127154,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,792,0.0004150704800238869,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,793,0.0003217239171676403,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,794,1.7157675652652162e-05,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,795,2.7928686482606657e-08,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,796,2.9438563922323086e-07,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,825,0.00017915332594525067,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,826,2.886105284052755e-05,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,845,0.00013190563923676685,t-test
Realworld_Open_hourly_binned,0.01,30,24,10,846,0.00626039504580315,t-test
