dataset,alpha,window_width,overlaps,detection_buf_size,slidshap_drift_pos,p_value,statistical_test
Realworld_accs(events)_filled_binned,0.01,100,30,10,0,0.0001762835172103267,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,1,0.0020693124627091967,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,2,0.0076077886790274826,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,14,4.488454568634798e-07,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,15,2.1324887993569754e-09,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,16,3.2702664265207866e-08,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,17,2.430630921144138e-07,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,18,1.2472473012172422e-07,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,19,5.869016331057564e-08,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,20,1.5792615165212128e-06,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,21,1.8161176584326616e-07,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,22,2.226453550801759e-05,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,23,0.0011329538816054088,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,34,1.9364991175460097e-05,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,35,0.0003502530615628546,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,36,0.0008530076446141763,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,37,0.0022862111630470214,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,60,1.8027017959700419e-10,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,61,2.772228126625588e-08,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,62,6.257673912888153e-07,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,63,6.592115401170724e-05,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,64,0.0009455613108770209,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,65,0.008612566171533059,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,77,8.997393903569814e-06,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,78,7.132461175581178e-05,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,79,0.0011444721782401018,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,80,0.008711220282286776,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,101,9.728292507282497e-06,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,102,3.4128961557673954e-05,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,103,2.6559043117374018e-05,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,104,0.0004998432197254788,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,105,0.003645782220105831,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,118,2.7890834871033693e-08,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,119,2.8100078981017257e-11,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,120,8.515189174486413e-11,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,121,1.4136473261183403e-06,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,122,0.00010654296649314673,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,123,0.0001175661444517424,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,124,0.0008134732755811147,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,141,1.8437937473377068e-09,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,142,6.72424645657896e-11,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,143,1.5859691915985427e-11,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,144,5.946457308465067e-07,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,145,4.384155495790274e-05,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,146,8.629804575145451e-05,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,147,0.0008483784170479722,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,160,9.0452359945471e-10,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,161,8.372768636092547e-14,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,162,1.06958611560136e-07,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,163,4.270985591688524e-07,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,164,1.1111387973766448e-05,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,165,0.002953520477918672,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,180,1.2419045671004868e-07,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,181,6.603856903713689e-07,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,182,2.478760184090746e-07,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,183,6.851482880893084e-06,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,184,3.1046075488773827e-06,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,185,7.236869923003455e-07,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,186,2.1911789544338916e-05,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,187,0.00015790501480902937,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,188,0.0007567840750703913,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,204,7.418281585890247e-05,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,205,0.0003591427568606647,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,206,0.0005150611862334321,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,207,0.001743370293309731,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,208,0.0025248818257390107,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,222,7.539459194776283e-07,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,223,9.101857244991402e-06,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,224,2.994466900644967e-07,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,225,8.24687914206021e-08,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,226,3.898653153881388e-06,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,227,5.142424061438034e-05,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,228,0.0001614039626095543,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,229,0.00039666869138342765,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,230,0.00018094173356410616,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,231,0.001538649311412985,t-test
Realworld_accs(events)_filled_binned,0.01,100,30,10,232,0.0029416680412095724,t-test
