dataset,alpha,window_width,overlaps,detection_buf_size,slidshap_drift_pos,p_value,statistical_test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,0,0.0005239374524743747,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,1,0.0021715089563704576,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,2,0.00624200417493529,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,13,1.9329536206524334e-09,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,14,8.86680716117997e-10,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,15,5.3741057035210014e-09,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,16,1.6831289462407177e-07,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,17,2.6291868576252703e-08,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,18,3.8900553475361246e-10,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,19,4.0257159693289917e-07,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,20,8.494807488198545e-06,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,21,0.0012818084061386125,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,55,2.2593086524167095e-05,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,56,0.00013849006644552737,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,57,0.0013832080259860928,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,65,4.0159767610091094e-07,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,66,1.8366286171361818e-07,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,67,4.8581615224147585e-06,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,68,5.1481980698407266e-06,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,69,5.118294810306731e-05,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,70,0.00022210775451175538,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,71,0.0035240224949225616,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,84,0.0002682605581981657,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,85,0.0004544458482796205,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,86,0.0006762337938000322,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,87,0.0003845814260948277,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,88,0.0003848608083098212,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,89,0.0002067172573600212,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,90,0.00035028550739496544,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,91,8.69140880281061e-05,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,92,2.5546079713025833e-06,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,110,7.857420414923848e-06,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,115,4.238415156165141e-10,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,116,4.437872777524922e-11,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,117,9.483925712412244e-10,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,118,2.127407286283993e-06,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,119,0.00018821545063188555,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,133,0.00019137721404283148,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,134,0.001695866095031204,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,135,0.002558474955255045,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,136,0.0009673449424479571,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,137,4.475729786205958e-05,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,138,3.7552221567293015e-07,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,139,8.454518838682612e-10,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,140,8.233917023267097e-12,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,141,1.5251270721220366e-09,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,142,3.20158278486242e-08,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,143,1.0196507771456043e-06,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,144,4.1963039646904175e-07,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,161,1.901936196952212e-08,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,162,2.3755691727708575e-09,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,163,3.124290962193493e-10,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,164,6.937709068459176e-10,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,165,8.546620900671583e-10,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,166,7.713414199163048e-11,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,167,2.537194730132304e-10,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,168,1.7622885016057314e-07,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,169,5.8783374159126455e-05,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,170,0.003073334838033355,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,183,4.5103939568395815e-05,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,184,0.0001670227082008366,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,185,0.0001768636316894196,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,186,0.00013644360385068184,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,187,4.2203216713324405e-05,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,188,1.4666783536887067e-05,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,189,4.474699746884713e-07,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,190,8.10603976810312e-10,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,191,1.3187503372243585e-10,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,192,1.1239473479976961e-08,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,193,0.0006094420931664239,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,194,0.0027043345023203005,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,195,0.000706604215041837,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,197,0.0023004889327728844,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,198,0.0009362423776120389,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,199,3.286304664070903e-06,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,200,9.86154844859854e-09,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,209,2.6233358630509898e-08,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,210,3.943116389629008e-08,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,211,2.1423360927458896e-08,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,212,1.0478323391186207e-07,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,213,4.4164081960689623e-07,t-test
Realworld_accs(events2)_filled_binned,0.01,200,140,10,214,4.128327474985412e-07,t-test
