dataset,alpha,window_width,overlaps,detection_buf_size,slidshap_drift_pos,p_value,statistical_test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,22,2.0163066405458796e-05,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,23,1.2488645462894385e-06,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,24,1.2834129232694308e-06,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,25,5.342993066454376e-07,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,26,4.837951595871789e-09,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,27,4.528192652679854e-10,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,28,4.5481835333171635e-12,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,29,9.0393437917749e-10,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,30,6.812010358736985e-07,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,31,3.168885356264473e-07,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,32,4.203319899101496e-07,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,33,5.015500413843657e-06,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,34,6.807348727597384e-05,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,35,0.0008035068418794195,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,36,0.0062470138987465295,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,48,2.631304027537439e-07,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,49,1.0326859726674605e-06,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,62,1.660441044323932e-06,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,64,1.7025446059870053e-07,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,65,0.00010108228077101838,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,66,0.0026433833445140874,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,79,4.25540484095559e-08,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,84,3.8152239633533235e-05,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,85,4.211353019039145e-05,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,86,1.1218027618153304e-05,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,87,3.0320287259394043e-06,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,88,8.401841458683488e-08,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,89,1.5270597648726598e-08,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,90,1.707478400488806e-07,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,91,1.6867501014247983e-08,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,92,2.923987612765713e-11,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,93,1.96583372460032e-11,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,94,5.0991847808248913e-11,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,95,4.871149136643957e-07,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,96,2.121698085020484e-05,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,97,3.1365574814338223e-06,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,98,2.2389876771781717e-08,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,99,3.936928059414586e-09,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,100,4.892559289832023e-07,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,101,0.0003557415723760566,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,105,5.209414722650591e-07,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,106,1.0127499561850564e-07,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,107,2.462340109210634e-07,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,108,1.4173216482914923e-06,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,109,4.278157572925471e-09,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,110,5.010310595844581e-06,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,111,0.0008178674044891308,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,112,0.001652848821347639,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,124,0.0018512082754205807,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,159,5.919746665750702e-07,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,160,1.333946716722256e-11,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,161,1.0711444176774256e-08,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,162,9.040573875770991e-07,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,163,7.097519717647487e-08,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,164,1.532388682253673e-08,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,165,8.931079596862522e-09,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,166,4.369551546007975e-11,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,167,2.1070569059417767e-07,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,168,5.90426372980364e-06,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,169,1.179080018044728e-05,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,170,1.068953749937084e-06,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,171,1.7324525362104316e-10,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,172,1.9368689500228516e-07,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,173,2.0935921549993047e-07,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,174,4.462960819476859e-07,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,175,6.894890418705534e-07,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,176,3.252727086037695e-07,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,177,1.4630595432396914e-07,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,178,1.0074166096052221e-07,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,179,3.0200920258898296e-05,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,187,5.0452026559359894e-09,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,237,6.877701686839675e-07,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,238,1.2923871760176703e-06,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,239,3.8348949927520514e-08,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,240,4.386519717751509e-09,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,241,2.1815154619662696e-06,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,242,0.00433767753925969,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,259,6.514048203735799e-08,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,260,1.6693450436448647e-06,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,261,5.097419245589668e-06,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,262,0.00014092122280811277,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,263,0.0012221295614098736,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,264,0.003452835433416237,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,311,3.27399364456396e-12,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,312,5.145485770779566e-13,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,313,7.696791687183425e-09,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,315,4.061297803578613e-10,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,316,2.4868673693735267e-06,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,317,0.00025036550061239275,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,318,2.7495396363048987e-05,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,319,0.00017730033955367763,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,329,9.288461982552943e-05,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,330,3.5790743225336985e-06,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,331,1.0884850890856377e-05,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,332,0.0006527176835256982,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,338,5.340077084690907e-08,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,339,2.3011005172883943e-06,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,340,2.4807232247481515e-07,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,341,2.7968816447621252e-05,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,342,0.00035533381121643365,t-test
Realworld_accs_after_filling_and_binning,0.01,100,80,10,343,0.0005926875795482189,t-test
