dataset,alpha,window_width,overlaps,detection_buf_size,slidshap_drift_pos,p_value,statistical_test
Realworld_accs_after_filling_events,0.01,200,140,10,0,0.0015582939129721524,t-test
Realworld_accs_after_filling_events,0.01,200,140,10,1,0.007828012979253169,t-test
Realworld_accs_after_filling_events,0.01,200,140,10,29,0.008391879189157986,t-test
Realworld_accs_after_filling_events,0.01,200,140,10,40,1.790183803480613e-05,t-test
Realworld_accs_after_filling_events,0.01,200,140,10,41,1.0211123229449163e-05,t-test
Realworld_accs_after_filling_events,0.01,200,140,10,42,8.447813082661749e-07,t-test
Realworld_accs_after_filling_events,0.01,200,140,10,43,2.006860878774879e-06,t-test
Realworld_accs_after_filling_events,0.01,200,140,10,44,4.5511575891508016e-05,t-test
Realworld_accs_after_filling_events,0.01,200,140,10,45,0.00025460632808930225,t-test
Realworld_accs_after_filling_events,0.01,200,140,10,46,8.028493559238071e-05,t-test
Realworld_accs_after_filling_events,0.01,200,140,10,47,1.362915211907372e-07,t-test
Realworld_accs_after_filling_events,0.01,200,140,10,48,2.6021329889338117e-06,t-test
Realworld_accs_after_filling_events,0.01,200,140,10,88,2.8978748921823844e-13,t-test
Realworld_accs_after_filling_events,0.01,200,140,10,89,2.332430249860688e-09,t-test
Realworld_accs_after_filling_events,0.01,200,140,10,90,1.3109728779214342e-07,t-test
Realworld_accs_after_filling_events,0.01,200,140,10,91,9.125571816799776e-08,t-test
Realworld_accs_after_filling_events,0.01,200,140,10,92,3.0396774875265196e-06,t-test
Realworld_accs_after_filling_events,0.01,200,140,10,93,1.5223896609828539e-05,t-test
Realworld_accs_after_filling_events,0.01,200,140,10,94,5.827331805635847e-06,t-test
Realworld_accs_after_filling_events,0.01,200,140,10,95,1.7487191364987347e-06,t-test
Realworld_accs_after_filling_events,0.01,200,140,10,96,1.8880219634863004e-06,t-test
Realworld_accs_after_filling_events,0.01,200,140,10,97,6.79269590218295e-06,t-test
Realworld_accs_after_filling_events,0.01,200,140,10,98,0.0007089900199140483,t-test
Realworld_accs_after_filling_events,0.01,200,140,10,99,0.009424386660717467,t-test
Realworld_accs_after_filling_events,0.01,200,140,10,110,2.2001022864890344e-06,t-test
Realworld_accs_after_filling_events,0.01,200,140,10,111,6.950818054799385e-05,t-test
Realworld_accs_after_filling_events,0.01,200,140,10,112,0.00047341364636203334,t-test
Realworld_accs_after_filling_events,0.01,200,140,10,113,0.0019039918005599075,t-test
Realworld_accs_after_filling_events,0.01,200,140,10,114,0.00804805905891974,t-test
Realworld_accs_after_filling_events,0.01,200,140,10,132,1.658083092334458e-06,t-test
Realworld_accs_after_filling_events,0.01,200,140,10,133,2.8936777104236956e-05,t-test
Realworld_accs_after_filling_events,0.01,200,140,10,134,3.627875529751655e-05,t-test
Realworld_accs_after_filling_events,0.01,200,140,10,135,6.341592403862804e-06,t-test
Realworld_accs_after_filling_events,0.01,200,140,10,136,2.6198216082298978e-05,t-test
Realworld_accs_after_filling_events,0.01,200,140,10,137,3.5712162714302966e-06,t-test
Realworld_accs_after_filling_events,0.01,200,140,10,138,1.7137614579602262e-05,t-test
Realworld_accs_after_filling_events,0.01,200,140,10,139,4.657335693588675e-05,t-test
