dataset,alpha,window_width,overlaps,detection_buf_size,slidshap_drift_pos,p_value,statistical_test
Realworld_accs_after_filling_events_binned,0.01,50,15,10,14,7.745942091612985e-07,t-test
Realworld_accs_after_filling_events_binned,0.01,50,15,10,15,4.975291334406362e-05,t-test
Realworld_accs_after_filling_events_binned,0.01,50,15,10,16,0.00012334655447434153,t-test
Realworld_accs_after_filling_events_binned,0.01,50,15,10,17,0.0020289692677534672,t-test
Realworld_accs_after_filling_events_binned,0.01,50,15,10,18,0.003452558375278947,t-test
Realworld_accs_after_filling_events_binned,0.01,50,15,10,46,4.281910719055528e-07,t-test
Realworld_accs_after_filling_events_binned,0.01,50,15,10,47,3.760096751923061e-09,t-test
Realworld_accs_after_filling_events_binned,0.01,50,15,10,48,4.3138109489815566e-08,t-test
Realworld_accs_after_filling_events_binned,0.01,50,15,10,51,0.000643451218663591,t-test
Realworld_accs_after_filling_events_binned,0.01,50,15,10,52,0.0003987017449581708,t-test
Realworld_accs_after_filling_events_binned,0.01,50,15,10,53,0.0006210390191735592,t-test
Realworld_accs_after_filling_events_binned,0.01,50,15,10,89,6.823790327732146e-08,t-test
Realworld_accs_after_filling_events_binned,0.01,50,15,10,90,4.415854536903823e-08,t-test
Realworld_accs_after_filling_events_binned,0.01,50,15,10,91,1.860019977571396e-05,t-test
Realworld_accs_after_filling_events_binned,0.01,50,15,10,92,6.476787616012104e-07,t-test
Realworld_accs_after_filling_events_binned,0.01,50,15,10,93,4.905906239514633e-07,t-test
Realworld_accs_after_filling_events_binned,0.01,50,15,10,94,6.450815350918376e-05,t-test
Realworld_accs_after_filling_events_binned,0.01,50,15,10,95,0.0029941104281579647,t-test
Realworld_accs_after_filling_events_binned,0.01,50,15,10,128,0.0033242744415815308,t-test
Realworld_accs_after_filling_events_binned,0.01,50,15,10,242,2.3213683361979758e-05,t-test
Realworld_accs_after_filling_events_binned,0.01,50,15,10,243,0.00011685627833121822,t-test
Realworld_accs_after_filling_events_binned,0.01,50,15,10,244,0.00015651121442733021,t-test
Realworld_accs_after_filling_events_binned,0.01,50,15,10,245,5.3599034768233554e-06,t-test
Realworld_accs_after_filling_events_binned,0.01,50,15,10,246,9.957916847953842e-05,t-test
Realworld_accs_after_filling_events_binned,0.01,50,15,10,247,0.0003985777692912794,t-test
Realworld_accs_after_filling_events_binned,0.01,50,15,10,284,2.2556345594994027e-06,t-test
Realworld_accs_after_filling_events_binned,0.01,50,15,10,285,1.3499869236188847e-07,t-test
Realworld_accs_after_filling_events_binned,0.01,50,15,10,286,2.3524554771666196e-13,t-test
Realworld_accs_after_filling_events_binned,0.01,50,15,10,287,3.72035192055797e-09,t-test
Realworld_accs_after_filling_events_binned,0.01,50,15,10,289,0.00021601462143124533,t-test
Realworld_accs_after_filling_events_binned,0.01,50,15,10,290,0.0002730274299440783,t-test
Realworld_accs_after_filling_events_binned,0.01,50,15,10,291,5.774294238380838e-05,t-test
Realworld_accs_after_filling_events_binned,0.01,50,15,10,292,3.030814311261564e-06,t-test
Realworld_accs_after_filling_events_binned,0.01,50,15,10,293,0.0005643677182096185,t-test
Realworld_accs_after_filling_events_binned,0.01,50,15,10,329,1.2558106413903114e-06,t-test
Realworld_accs_after_filling_events_binned,0.01,50,15,10,330,4.2721208553295245e-05,t-test
Realworld_accs_after_filling_events_binned,0.01,50,15,10,331,0.0005081254512015405,t-test
Realworld_accs_after_filling_events_binned,0.01,50,15,10,332,0.0030032957024116276,t-test
Realworld_accs_after_filling_events_binned,0.01,50,15,10,361,5.846358256520345e-06,t-test
Realworld_accs_after_filling_events_binned,0.01,50,15,10,362,0.00010392064229999434,t-test
Realworld_accs_after_filling_events_binned,0.01,50,15,10,363,0.00046066735195803254,t-test
Realworld_accs_after_filling_events_binned,0.01,50,15,10,364,0.002837623461451794,t-test
Realworld_accs_after_filling_events_binned,0.01,50,15,10,365,0.00801711763669796,t-test
Realworld_accs_after_filling_events_binned,0.01,50,15,10,366,0.006366719537949158,t-test
Realworld_accs_after_filling_events_binned,0.01,50,15,10,401,9.154486025215548e-05,t-test
Realworld_accs_after_filling_events_binned,0.01,50,15,10,441,0.005694780342440621,t-test
Realworld_accs_after_filling_events_binned,0.01,50,15,10,511,0.0001203013839987608,t-test
Realworld_accs_after_filling_events_binned,0.01,50,15,10,512,0.00011099773455399492,t-test
Realworld_accs_after_filling_events_binned,0.01,50,15,10,527,0.0024221970129241956,t-test
