dataset,alpha,window_width,overlaps,detection_buf_size,slidshap_drift_pos,p_value,statistical_test
Realworld_accs_after_filling_events_binned50,0.01,200,140,10,0,0.0005097622771543368,t-test
Realworld_accs_after_filling_events_binned50,0.01,200,140,10,1,0.002289912880832139,t-test
Realworld_accs_after_filling_events_binned50,0.01,200,140,10,2,0.006236726686970067,t-test
Realworld_accs_after_filling_events_binned50,0.01,200,140,10,13,2.2095185499876026e-09,t-test
Realworld_accs_after_filling_events_binned50,0.01,200,140,10,14,7.315353268894476e-10,t-test
Realworld_accs_after_filling_events_binned50,0.01,200,140,10,15,6.135987729858538e-09,t-test
Realworld_accs_after_filling_events_binned50,0.01,200,140,10,16,1.6461041475034936e-07,t-test
Realworld_accs_after_filling_events_binned50,0.01,200,140,10,17,2.2733689959153832e-08,t-test
Realworld_accs_after_filling_events_binned50,0.01,200,140,10,18,7.206634475830988e-11,t-test
Realworld_accs_after_filling_events_binned50,0.01,200,140,10,19,1.905586322238991e-09,t-test
Realworld_accs_after_filling_events_binned50,0.01,200,140,10,20,3.593461989710995e-08,t-test
Realworld_accs_after_filling_events_binned50,0.01,200,140,10,21,9.479342463568101e-10,t-test
Realworld_accs_after_filling_events_binned50,0.01,200,140,10,22,5.248644080595421e-10,t-test
Realworld_accs_after_filling_events_binned50,0.01,200,140,10,23,9.647491733688862e-10,t-test
Realworld_accs_after_filling_events_binned50,0.01,200,140,10,24,5.808390408198172e-07,t-test
Realworld_accs_after_filling_events_binned50,0.01,200,140,10,25,5.2146064400351866e-08,t-test
Realworld_accs_after_filling_events_binned50,0.01,200,140,10,26,5.617665861935789e-10,t-test
Realworld_accs_after_filling_events_binned50,0.01,200,140,10,27,2.36456120428989e-10,t-test
Realworld_accs_after_filling_events_binned50,0.01,200,140,10,28,4.3770162006213824e-07,t-test
Realworld_accs_after_filling_events_binned50,0.01,200,140,10,29,1.4216968901474998e-05,t-test
Realworld_accs_after_filling_events_binned50,0.01,200,140,10,30,0.00014281256631650088,t-test
Realworld_accs_after_filling_events_binned50,0.01,200,140,10,31,0.004490502484538259,t-test
Realworld_accs_after_filling_events_binned50,0.01,200,140,10,44,5.654181469529914e-07,t-test
