dataset,alpha,window_width,overlaps,detection_buf_size,slidshap_drift_pos,p_value,statistical_test
Realworld_accs_filled_binned,0.01,100,80,10,21,0.00041530835046882885,t-test
Realworld_accs_filled_binned,0.01,100,80,10,22,4.7102628355138724e-05,t-test
Realworld_accs_filled_binned,0.01,100,80,10,23,3.5066392568880028e-06,t-test
Realworld_accs_filled_binned,0.01,100,80,10,24,1.9471368379534816e-07,t-test
Realworld_accs_filled_binned,0.01,100,80,10,25,4.381145068750248e-08,t-test
Realworld_accs_filled_binned,0.01,100,80,10,26,2.1801138009453565e-10,t-test
Realworld_accs_filled_binned,0.01,100,80,10,27,4.7953359034154734e-11,t-test
Realworld_accs_filled_binned,0.01,100,80,10,28,5.880036898861629e-12,t-test
Realworld_accs_filled_binned,0.01,100,80,10,29,1.912006087721195e-09,t-test
Realworld_accs_filled_binned,0.01,100,80,10,30,4.6705924776862684e-08,t-test
Realworld_accs_filled_binned,0.01,100,80,10,31,2.0308805358196447e-08,t-test
Realworld_accs_filled_binned,0.01,100,80,10,32,6.369065110717438e-08,t-test
Realworld_accs_filled_binned,0.01,100,80,10,33,2.7702244400497394e-07,t-test
Realworld_accs_filled_binned,0.01,100,80,10,34,3.321980352990125e-06,t-test
Realworld_accs_filled_binned,0.01,100,80,10,35,2.7026573976374935e-05,t-test
Realworld_accs_filled_binned,0.01,100,80,10,36,7.64558592881898e-05,t-test
Realworld_accs_filled_binned,0.01,100,80,10,37,0.0004359904213730148,t-test
Realworld_accs_filled_binned,0.01,100,80,10,38,3.87949817606662e-05,t-test
Realworld_accs_filled_binned,0.01,100,80,10,39,1.499513798960946e-07,t-test
Realworld_accs_filled_binned,0.01,100,80,10,57,9.41481572237468e-06,t-test
Realworld_accs_filled_binned,0.01,100,80,10,58,3.39106245812238e-05,t-test
Realworld_accs_filled_binned,0.01,100,80,10,59,3.2419945039511817e-06,t-test
Realworld_accs_filled_binned,0.01,100,80,10,63,8.186547476086479e-07,t-test
Realworld_accs_filled_binned,0.01,100,80,10,64,7.242682766488242e-07,t-test
Realworld_accs_filled_binned,0.01,100,80,10,65,0.0010222212479166332,t-test
Realworld_accs_filled_binned,0.01,100,80,10,78,1.0771810920827055e-07,t-test
Realworld_accs_filled_binned,0.01,100,80,10,79,1.3339052929121497e-07,t-test
Realworld_accs_filled_binned,0.01,100,80,10,83,2.822653003186743e-08,t-test
Realworld_accs_filled_binned,0.01,100,80,10,85,2.696811652033302e-05,t-test
Realworld_accs_filled_binned,0.01,100,80,10,86,7.696763864127666e-05,t-test
Realworld_accs_filled_binned,0.01,100,80,10,87,9.453165160465618e-05,t-test
Realworld_accs_filled_binned,0.01,100,80,10,88,7.094020957777037e-06,t-test
Realworld_accs_filled_binned,0.01,100,80,10,89,1.1454592733139405e-06,t-test
Realworld_accs_filled_binned,0.01,100,80,10,90,8.299827849599794e-09,t-test
Realworld_accs_filled_binned,0.01,100,80,10,91,1.6206070712205036e-07,t-test
Realworld_accs_filled_binned,0.01,100,80,10,92,1.629041063004089e-08,t-test
Realworld_accs_filled_binned,0.01,100,80,10,93,4.7260899115581335e-11,t-test
Realworld_accs_filled_binned,0.01,100,80,10,94,3.912512757785384e-13,t-test
Realworld_accs_filled_binned,0.01,100,80,10,95,4.11132504031198e-08,t-test
Realworld_accs_filled_binned,0.01,100,80,10,96,8.597793987166806e-07,t-test
Realworld_accs_filled_binned,0.01,100,80,10,97,4.0078645388175804e-07,t-test
Realworld_accs_filled_binned,0.01,100,80,10,98,4.5231515025827935e-07,t-test
Realworld_accs_filled_binned,0.01,100,80,10,99,2.2084280524204173e-11,t-test
Realworld_accs_filled_binned,0.01,100,80,10,100,1.2216624462100637e-11,t-test
Realworld_accs_filled_binned,0.01,100,80,10,101,7.46390544591437e-07,t-test
Realworld_accs_filled_binned,0.01,100,80,10,102,0.0001394297319896288,t-test
Realworld_accs_filled_binned,0.01,100,80,10,103,2.3002892920098657e-05,t-test
Realworld_accs_filled_binned,0.01,100,80,10,104,2.0051581497147734e-06,t-test
