dataset,alpha,window_width,overlaps,detection_buf_size,slidshap_drift_pos,p_value,statistical_test
Realworld_dataset1-timeSeries_after_filling_and_binning,0.01,50,40,10,3,1.1219060418305598e-05,t-test
Realworld_dataset1-timeSeries_after_filling_and_binning,0.01,50,40,10,4,4.3836551582685896e-05,t-test
Realworld_dataset1-timeSeries_after_filling_and_binning,0.01,50,40,10,5,0.0001767672263240592,t-test
Realworld_dataset1-timeSeries_after_filling_and_binning,0.01,50,40,10,6,0.0004580386798949107,t-test
Realworld_dataset1-timeSeries_after_filling_and_binning,0.01,50,40,10,8,7.814678710834986e-05,t-test
Realworld_dataset1-timeSeries_after_filling_and_binning,0.01,50,40,10,9,0.0007470690885714613,t-test
Realworld_dataset1-timeSeries_after_filling_and_binning,0.01,50,40,10,148,0.0020151339896393532,t-test
Realworld_dataset1-timeSeries_after_filling_and_binning,0.01,50,40,10,368,0.00818207684461882,t-test
Realworld_dataset1-timeSeries_after_filling_and_binning,0.01,50,40,10,671,0.009345704183264213,t-test
Realworld_dataset1-timeSeries_after_filling_and_binning,0.01,50,40,10,822,2.131590194208285e-09,t-test
Realworld_dataset1-timeSeries_after_filling_and_binning,0.01,50,40,10,823,3.312932529142312e-08,t-test
Realworld_dataset1-timeSeries_after_filling_and_binning,0.01,50,40,10,824,1.5723004718807978e-05,t-test
Realworld_dataset1-timeSeries_after_filling_and_binning,0.01,50,40,10,825,0.0007407678606394928,t-test
Realworld_dataset1-timeSeries_after_filling_and_binning,0.01,50,40,10,826,0.004597238879228515,t-test
Realworld_dataset1-timeSeries_after_filling_and_binning,0.01,50,40,10,877,0.002350804712212894,t-test
Realworld_dataset1-timeSeries_after_filling_and_binning,0.01,50,40,10,878,0.003303002948558878,t-test
Realworld_dataset1-timeSeries_after_filling_and_binning,0.01,50,40,10,896,3.0757938626896142e-06,t-test
Realworld_dataset1-timeSeries_after_filling_and_binning,0.01,50,40,10,897,8.205938169336371e-07,t-test
Realworld_dataset1-timeSeries_after_filling_and_binning,0.01,50,40,10,898,1.4029511212302043e-07,t-test
Realworld_dataset1-timeSeries_after_filling_and_binning,0.01,50,40,10,899,3.0348847545137538e-06,t-test
Realworld_dataset1-timeSeries_after_filling_and_binning,0.01,50,40,10,900,6.12879073596405e-06,t-test
Realworld_dataset1-timeSeries_after_filling_and_binning,0.01,50,40,10,901,1.811808065304169e-06,t-test
Realworld_dataset1-timeSeries_after_filling_and_binning,0.01,50,40,10,902,1.1661194501756657e-08,t-test
Realworld_dataset1-timeSeries_after_filling_and_binning,0.01,50,40,10,903,3.1735863713460835e-06,t-test
Realworld_dataset1-timeSeries_after_filling_and_binning,0.01,50,40,10,904,0.00010440890148340781,t-test
Realworld_dataset1-timeSeries_after_filling_and_binning,0.01,50,40,10,905,0.00038418088126521144,t-test
Realworld_dataset1-timeSeries_after_filling_and_binning,0.01,50,40,10,906,0.0009902948053626243,t-test
Realworld_dataset1-timeSeries_after_filling_and_binning,0.01,50,40,10,921,0.0025605628504160607,t-test
Realworld_dataset1-timeSeries_after_filling_and_binning,0.01,50,40,10,1254,0.005212457946397778,t-test
Realworld_dataset1-timeSeries_after_filling_and_binning,0.01,50,40,10,1806,0.005422936067697165,t-test
