dataset,alpha,window_width,overlaps,detection_buf_size,slidshap_drift_pos,p_value,statistical_test
Realworld_dataset1-timeSeries_after_filling_events_binned,0.01,200,140,10,66,0.005069517691028408,t-test
Realworld_dataset1-timeSeries_after_filling_events_binned,0.01,200,140,10,90,0.0005165177594146119,t-test
Realworld_dataset1-timeSeries_after_filling_events_binned,0.01,200,140,10,91,0.00025267044277722225,t-test
Realworld_dataset1-timeSeries_after_filling_events_binned,0.01,200,140,10,92,1.30869641584331e-05,t-test
Realworld_dataset1-timeSeries_after_filling_events_binned,0.01,200,140,10,93,6.058146073104528e-08,t-test
Realworld_dataset1-timeSeries_after_filling_events_binned,0.01,200,140,10,94,2.2907872313002173e-20,t-test
Realworld_dataset1-timeSeries_after_filling_events_binned,0.01,200,140,10,95,2.315949438935195e-07,t-test
Realworld_dataset1-timeSeries_after_filling_events_binned,0.01,200,140,10,139,7.945871816317087e-05,t-test
Realworld_dataset1-timeSeries_after_filling_events_binned,0.01,200,140,10,140,0.0004974720122946373,t-test
Realworld_dataset1-timeSeries_after_filling_events_binned,0.01,200,140,10,141,0.001891568469757413,t-test
Realworld_dataset1-timeSeries_after_filling_events_binned,0.01,200,140,10,163,1.97490800789142e-14,t-test
Realworld_dataset1-timeSeries_after_filling_events_binned,0.01,200,140,10,164,6.501769342760309e-07,t-test
Realworld_dataset1-timeSeries_after_filling_events_binned,0.01,200,140,10,165,2.460395391190733e-05,t-test
Realworld_dataset1-timeSeries_after_filling_events_binned,0.01,200,140,10,166,0.00012594705956119794,t-test
Realworld_dataset1-timeSeries_after_filling_events_binned,0.01,200,140,10,169,0.000613412829529091,t-test
Realworld_dataset1-timeSeries_after_filling_events_binned,0.01,200,140,10,170,0.008045387750986756,t-test
Realworld_dataset1-timeSeries_after_filling_events_binned,0.01,200,140,10,202,1.3655134156197303e-05,t-test
Realworld_dataset1-timeSeries_after_filling_events_binned,0.01,200,140,10,248,0.00012619545359741438,t-test
Realworld_dataset1-timeSeries_after_filling_events_binned,0.01,200,140,10,249,0.0007808183524409761,t-test
Realworld_dataset1-timeSeries_after_filling_events_binned,0.01,200,140,10,250,0.005703938503089217,t-test
Realworld_dataset1-timeSeries_after_filling_events_binned,0.01,200,140,10,266,0.0003747967002896672,t-test
Realworld_dataset1-timeSeries_after_filling_events_binned,0.01,200,140,10,267,0.001937970401136087,t-test
Realworld_dataset1-timeSeries_after_filling_events_binned,0.01,200,140,10,302,0.002351592088172521,t-test
Realworld_dataset1-timeSeries_after_filling_events_binned,0.01,200,140,10,303,0.00855405723981888,t-test
