dataset,alpha,window_width,overlaps,detection_buf_size,slidshap_drift_pos,p_value,statistical_test
Realworld_dataset1-timeSeries_filled_binned,0.01,200,180,10,11,7.089292157167387e-23,t-test
Realworld_dataset1-timeSeries_filled_binned,0.01,200,180,10,12,5.103451890092049e-08,t-test
Realworld_dataset1-timeSeries_filled_binned,0.01,200,180,10,13,1.555257986247227e-07,t-test
Realworld_dataset1-timeSeries_filled_binned,0.01,200,180,10,14,2.6784496091193996e-07,t-test
Realworld_dataset1-timeSeries_filled_binned,0.01,200,180,10,15,1.6635868244396345e-07,t-test
Realworld_dataset1-timeSeries_filled_binned,0.01,200,180,10,16,3.290225739930063e-08,t-test
Realworld_dataset1-timeSeries_filled_binned,0.01,200,180,10,17,2.7747375455179482e-09,t-test
Realworld_dataset1-timeSeries_filled_binned,0.01,200,180,10,18,0.00015785108364119123,t-test
Realworld_dataset1-timeSeries_filled_binned,0.01,200,180,10,33,4.2725015006845285e-08,t-test
Realworld_dataset1-timeSeries_filled_binned,0.01,200,180,10,34,7.537372612049596e-12,t-test
Realworld_dataset1-timeSeries_filled_binned,0.01,200,180,10,35,1.9540133313805626e-11,t-test
Realworld_dataset1-timeSeries_filled_binned,0.01,200,180,10,36,3.0978121408698986e-08,t-test
Realworld_dataset1-timeSeries_filled_binned,0.01,200,180,10,37,8.75526588853781e-19,t-test
Realworld_dataset1-timeSeries_filled_binned,0.01,200,180,10,38,7.082661118751837e-08,t-test
Realworld_dataset1-timeSeries_filled_binned,0.01,200,180,10,67,0.0017017379125338257,t-test
Realworld_dataset1-timeSeries_filled_binned,0.01,200,180,10,68,0.007405720169785147,t-test
Realworld_dataset1-timeSeries_filled_binned,0.01,200,180,10,104,1.1292477926926351e-05,t-test
Realworld_dataset1-timeSeries_filled_binned,0.01,200,180,10,105,9.993752295904728e-05,t-test
Realworld_dataset1-timeSeries_filled_binned,0.01,200,180,10,106,2.1776957970890056e-05,t-test
Realworld_dataset1-timeSeries_filled_binned,0.01,200,180,10,107,1.2752864770810452e-06,t-test
Realworld_dataset1-timeSeries_filled_binned,0.01,200,180,10,108,1.4716030806894534e-09,t-test
Realworld_dataset1-timeSeries_filled_binned,0.01,200,180,10,109,2.955763349734485e-11,t-test
Realworld_dataset1-timeSeries_filled_binned,0.01,200,180,10,110,2.4607554514434546e-07,t-test
Realworld_dataset1-timeSeries_filled_binned,0.01,200,180,10,111,4.157760756492705e-05,t-test
Realworld_dataset1-timeSeries_filled_binned,0.01,200,180,10,112,6.243542751426392e-05,t-test
Realworld_dataset1-timeSeries_filled_binned,0.01,200,180,10,118,2.336002396965604e-07,t-test
Realworld_dataset1-timeSeries_filled_binned,0.01,200,180,10,119,2.170674044195569e-09,t-test
Realworld_dataset1-timeSeries_filled_binned,0.01,200,180,10,120,3.5875097735272943e-06,t-test
Realworld_dataset1-timeSeries_filled_binned,0.01,200,180,10,121,0.0018555301710976913,t-test
Realworld_dataset1-timeSeries_filled_binned,0.01,200,180,10,122,0.008085943594971988,t-test
Realworld_dataset1-timeSeries_filled_binned,0.01,200,180,10,150,6.614231746259883e-05,t-test
Realworld_dataset1-timeSeries_filled_binned,0.01,200,180,10,151,0.00031722450457799436,t-test
Realworld_dataset1-timeSeries_filled_binned,0.01,200,180,10,152,0.0010212100378070548,t-test
Realworld_dataset1-timeSeries_filled_binned,0.01,200,180,10,153,3.218371392555603e-06,t-test
Realworld_dataset1-timeSeries_filled_binned,0.01,200,180,10,154,1.5472337275287839e-06,t-test
Realworld_dataset1-timeSeries_filled_binned,0.01,200,180,10,155,1.707576633891074e-05,t-test
Realworld_dataset1-timeSeries_filled_binned,0.01,200,180,10,162,1.572660857507934e-10,t-test
Realworld_dataset1-timeSeries_filled_binned,0.01,200,180,10,163,1.3736582999706366e-12,t-test
Realworld_dataset1-timeSeries_filled_binned,0.01,200,180,10,164,1.4986988263649548e-09,t-test
Realworld_dataset1-timeSeries_filled_binned,0.01,200,180,10,165,1.4370350012175828e-12,t-test
